Column,2017,2016,2015,2014,2013
Value addition,KShs. 000',KShs. 000',KShs. 000',KShs. 000',KShs. 000'
"Interest Income,Fees,Commission and Other income","25,429,557","25,121,892","22,632,847","20,297,873","19,305,858"
Interest Paid to Depositors and other costs,"(13,150,926)","(12,420,312)","(8,885,055)","(7,023,527)","(6,866,391)"
Interest paid on borrowings,"(521,104)","(685,049)","(838,412)","(531,753)","(546,805)"
Wealth Created,"11,757,527","12,016,531","12,909,379","12,742,592","11,892,662"
Employee benefits,"(5,735,195)","(5,440,584)","(5,035,142)","(4,472,141)","(4,030,095)"
Government - Tax,"(1,091,754)","(1,630,497)","(2,453,680)","(2,013,585)","(2,096,849)"
Shareholder's Dividends,"(2,075,439)","(2,075,439)","(2,431,229)","(2,431,229)","(849,942)"
Retention to support future Business Growth:,,,,,
Retained Earnings,"(2,234,055)","(2,343,150)","(2,474,505)","(3,255,432)","(4,277,214)"
Depreciation and Amortisation,"(613,769)","(517,500)","(503,832)","(556,912)","(623,358)"
Social Capital-CSI,"(7,315)","(9,361)","(10,992)","(13,294)","(15,204)"
Distribution of wealth,"(11,757,527)","(12,016,531)","(12,909,379)","(12,742,592)","(11,892,662)"
