Column,Column,Column,Income statement movements,Column,Column,Column,Column,Column,Column,"Interest in
suspense",Total
,"Opening ECL
1 Jan
2021","Total
transfers
between
stages","ECL on new
exposure
raised","Subsequent
changes
in ECL","Change in ECL
due to
derecognition","Net ECL
raised/
(released)1","Impairment
accounts
written-off","Exchange
and other
movements","Closing
ECL
31 Dec
2021",,
"Customers KShs KShs KShs KShs KShs KShs KShs KShs KShs KShs KShs
Mortgage loans 1,510 - 12 3 61 - 373 (22) (131) 1,730 (9) 1,721
Stage 1 20 38 6 (32) - 12 - - 32 - 32
Stage 2 330 (26) 6 8 2 - 62 - - 392 - 392
Stage 3 1,160 (12) - 311 - 299 (22) (131) 1,306 (9) 1,297
Vehicle and asset
finance 2,464 - 78 8 8 - 166 (83) (235) 2,312 85 2,397
Stage 1 77 13 30 (43) - - - - 77 - 77
Stage 2 439 (9) 25 (79) - (63) - (8) 368 - 368
Stage 3 1,948 (4) 23 2 10 - 229 (83) (227) 1,867 85 1,952
Card debtors 87 - 4 3 6 - 40 (37) (29) 61 - 61
Stage 1 26 15 2 (21) - (4) - - 22 - 22
Stage 2 35 (15) 2 2 9 - 16 - - 51 - 51
Stage 3 26 - - 28 - 28 (37) (29) (12) - (12)
Other loans and
advances 4,279 - 673 1 ,028 - 1,701 (480) 300 5,800 263 6,063
Stage 1 366 61 247 (285) - 23 - - 389 - 389
Stage 2 920 (136) 189 (21) - 32 - - 952 - 952
Stage 3 2,993 75 237 1 ,334 - 1,646 (480) 300 4,459 263 4,722
Corporate 10,075 - 562 3 21 ( 247) 636 (3,540) 184 7,355 (1,969) 5,386
Stage 1 560 48 283 (82) (158) 91 - (82) 569 - 569
Stage 2 336 (51) 58 1 6 (232) (209) - 297 424 - 424
Stage 3 9,179 3 221 3 87 143 754 (3,540) (31) 6,362 (1,969) 4,393
Total 18,415 - 1,329 1 ,834 ( 247) 2,916 (4,162) 89 17,258 (1,630) 15,628",,,KShs KShs KShs,,,KShs,KShs KShs,,KShs,KShs,KShs
,"1,510 - 12 3 61 - 373 (22) (131) 1,730 (9) 1,721",,,,,,,,,,
,20,38,6,(32),-,12,-,-,32,-,32
,330,(26),6,8 2,-,62,-,-,392,-,392
,"1,160",(12),-,311,-,299,(22),(131),"1,306",(9),"1,297"
,"2,464 - 78 8 8 - 166 (83) (235) 2,312 85 2,397",,,,,,,,,,
,77,13,30,(43),-,-,-,-,77,-,77
,439,(9),25,(79),-,(63),-,(8),368,-,368
,"1,948",(4),23,2 10,-,229,(83),(227),"1,867",85,"1,952"
,87 - 4 3 6 - 40 (37) (29) 61 - 61,,,,,,,,,,
,26,15,2,(21),-,(4),-,-,22,-,22
,35,(15),2,2 9,-,16,-,-,51,-,51
,26,-,-,28,-,28,(37),(29),(12),-,(12)
,"4,279 - 673 1 ,028 - 1,701 (480) 300 5,800 263 6,063",,,,,,,,,,
,366,61,247,(285),-,23,-,-,389,-,389
,920,(136),189,(21),-,32,-,-,952,-,952
,"2,993",75,237,"1 ,334",-,"1,646",(480),300,"4,459",263,"4,722"
,"10,075 - 562 3 21 ( 247) 636 (3,540) 184 7,355 (1,969) 5,386",,,,,,,,,,
,560,48,283,(82),(158),91,-,(82),569,-,569
,336,(51),58,1 6,(232),(209),-,297,424,-,424
,"9,179",3,221,3 87,143,754,"(3,540)",(31),"6,362","(1,969)","4,393"
,"18,415 - 1,329 1 ,834 ( 247) 2,916 (4,162) 89 17,258 (1,630) 15,628",,,,,,,,,,
