"8,044,783",-,-,-,-,-,-,-
"29,806,020","47,181,804",-,"1,020,222","13,403,902","12,863,743","17,796,848","2,097,089"
"4,915,107","5,521,226",-,-,"626,913","2,626,913","2,267,400",-
"36,079,567","43,695,915",-,"2,000,000","21,538,319","4,785,507","5,148,579","10,223,510"
"5,444,178","5,590,371",-,-,"263,932","263,932","2,093,757","2,968,750"
"12,743,630","12,874,511","8,538,628","4,335,883",-,-,-,-
"130,535,814","166,750,036","23,414,144","2,728,564","14,218,061","16,371,383","95,065,830","14,952,054"
"3,220,573","3,220,573","3,220,573",-,-,-,-,-
"230,789,672","284,834,436","35,173,345","10,084,669","50,051,127","36,911,478","122,372,414","30,241,403"
"2,391,101",,,,,,,
-,"4,048,589",-,"401,116","1,321,742","890,084","922,757","512,890"
-,"(164,879)",-,(861),"(18,695)","(62,916)","(59,219)","(23,188)"
"2,391,101","3,883,710",-,"400,255","1,303,047","827,168","863,538","489,702"
"(38,707,135)","(40,314,245)","(3,534,670)","(4,517,078)","(7,480,047)","(6,506,198)","(12,471,123)","(5,805,129)"
"(154,660,772)","(154,970,529)","(141,704,193)","(4,039,695)","(6,128,566)","(2,638,956)","(447,685)","(11,434)"
"(362,630)","(381,672)",-,"(159,844)","(221,828)",-,-,-
"(3,989,243)","(6,072,000)",-,-,"(259,000)","(259,000)","(5,554,000)",-
"(5,596,830)","(5,596,830)","(5,596,830)",-,-,-,-,-
"(203,316,610)","(207,335,276)","(150,835,693)","(8,716,617)","(14,089,441)","(9,404,154)","(18,472,808)","(5,816,563)"
"(2,427,563)","70,421",-,"1,629","3,865","4,638","37,101","23,188"
-,"(3,179,730)",-,"(179,335)","(860,151)","(785,378)","(841,976)","(512,890)"
"(2,427,563)","(3,109,309)",-,"(177,706)","(856,286)","(780,740)","(804,875)","(489,702)"
