Statement of financial position,Column,Column,Column,Column,Column,Column
,Total,Total,South Sudan,South Sudan,Kenya,Kenya
,Kshs'000,Kshs'000,Kshs'000,Kshs'000,Kshs'000,Kshs'000
,2016,2015,2016,2015,2016,2015
Assets,,,,,,
Cash and balances with Central Bank of Kenya,"8,621,228","18,286,126","1,658,560","7,703,815","6,962,668","10,582,311"
Financial assets,"52,927,188","48,701,992","6,387","58,752","52,920,801","48,643,240"
Derivative assets,"2,472,191","4,377,196",4,-,"2,472,187","4,377,196"
Loans and advances,"136,658,694","124,381,139","10,501,783","2,495,611","126,156,911","121,885,528"
"Property, equipment and intangibles","3,397,362","3,056,126","74,235","51,676","3,323,127","3,004,450"
Goodwill,"9,349,759","9,349,759",-,-,"9,349,759","9,349,759"
Deferred income tax,"1,407,363","361,322","(7,699)","3,032","1,415,062","358,290"
Current income tax,"113,547","382,965","33,965",-,"79,582","382,965"
Other receivables and prepayments,"5,995,766","4,332,139","2,346,026","27,783","3,649,740","4,304,356"
Total assets,"220,943,098","213,228,764","14,613,261","10,340,669","206,329,837","202,888,095"
Liabilities,,,,,,
Deposits,"159,915,664","156,836,037","9,540,521","7,811,037","150,375,143","149,025,000"
Current income tax,"1,402,810","89,535",-,"80,305","1,402,810","9,230"
Trading liabilities,"3,867,718","521,973",-,-,"3,867,718","521,973"
Derivative liabilities,"3,061,063","3,361,440","1,308",-,"3,059,755","3,361,440"
Borrowings,"3,986,138","6,482,063",-,-,"3,986,138","6,482,063"
Other liabilities and accrued expenses,"8,568,831","7,572,887","4,719,135","1,795,504","3,849,696","5,777,383"
Total liabilities,"180,802,224","174,863,935","14,260,964","9,686,846","166,541,260","165,177,089"
Shareholders' equity,"40,140,874","38,364,829","352,297","653,823","39,788,577","37,711,006"
Total equity and liabilities,"220,943,098","213,228,764","14,613,261","10,340,669","206,329,837","202,888,096"
Other information,,,,,,
Additions to property and equipment,"373,581","501,881","4,466","4,466","369,115","497,415"
Additions to intangible assets,"558,470","342,427",703,705,"557,767","341,722"
Impairment losses on property and equipment,"76,853","25,584",-,-,"76,853","25,584"
