Column,Column,Column,Column,Column,Column,Collateral coverage - Total,Column,Column
31 December 2017,Total exposure,"Unsecured
exposure","Secured
exposure","Netting
agreements","Secured
exposure
after netting","Greater than
0% to 50%","Greater than
50% to
100%","Greater than
100%"
Asset class,,,,,,,,
Corporate,"112,918,860","3,156,071","109,762,789",-,"109,762,789",-,"109,762,789",-
Sovereign,"81,938,220","81,938,220",-,-,-,-,-,-
Bank,"12,743,626","12,743,626",-,-,-,-,-,-
Retail,"71,401,695","7,597,906","63,803,789",-,"63,803,789",-,"63,803,789",-
-Retail mortgage,"25,411,817",-,"25,411,817",-,"25,411,817",-,"25,411,817",-
-Other retail,"45,989,878","7,597,906","8,391,972",-,"38,391,972",-,"38,391,972",-
Total,"279,002,401","105,435,823","173,566,578",-,"173,566,578",-,"173,566,578",-
"Add: Financial assets not
exposed to credit risk","4,807,042",,,,,,,
Add: Coins and Bank notes,"1,586,469",,,,,,,
Add: Other financial assets,"3,220,573",,,,,,,
"Less: Impairments for loans and
advances","(5,264,006)",,,,,,,
"Less: Unrecognised off balance
sheet items","(45,364,669)",,,,,,,
Total exposure,"233,180,768",,,,,,,
"Reconciliation to balance
sheet",,,,,,,,
"Cash and balances with central
banks","8,044,783",,,,,,,
Derivative assets,"2,391,101",,,,,,,
Financial investments,"71,329,764",,,,,,,
"Pledged assets - available-for-
sale","4,915,107",,,,,,,
Other financial assets,"3,220,573",,,,,,,
Net loans and advances,"143,279,440",,,,,,,
"Total on – balance sheet
exposure","233,180,768",,,,,,,
