USD,GBP,Euro,Others,Total
"9,409",661,658,"6,130","16,858"
"38,243",356,"4,015",34,"42,648"
-,-,-,243,243
"3,167",1,632,687,"4,487"
"50,819","1,018","5,305","7,094","64,236"
"19,985",827,185,449,"21,446"
"33,923","1,468","2,728","5,086","43,205"
"17,747",23,677,"1,884","20,331"
"71,655","2,318","3,590","7,419","84,982"
"(20,836)","(1,300)","1,715",(325),"(20,746)"
"22,171","1,363","(1,613)",(66),"21,855"
"1,335",63,102,(391),"1,109"
"(15,621)",(569),"(1,494)","2,255","(15,429)"
"16,485",684,"1,374","(1,791)","16,752"
864,115,(120),464,"1,323"
