Responses,Column,Column
"Application - FA, PA or NA
- See Notes 1, 2, 3, & 4",Application or Explanation - Note 2,Source of Information
FA,"The Audit Committee oversees the integrity of the process
and for truthful and factual presentation. It further endorses
the approval of the financial statements to the Board.
Disclosures on this are made in the Annual Report in the
section on Corporate Governance detailing the mandate and
activities of Board Committees. This is indicated in Section
7.2 of the BAC Mandate and Section 3.1.1 of the Board
Mandate.","Board Audit Committee Meeting Minutes and Board Meeting
Minutes. In addition, the 2019 Annual Integrated Report, the
Board Mandate and the Board Audit Committee Mandate
available on the website."
FA,"Yes. This is contained in the section on the Report of the
Directors and the Statement of Directors’ Responsibilities.
The external auditor’s statement is contained within the
Independent Auditor’s Report.",2019 Annual Integrated Report available on the website.
FA,"Yes. The Company uses a reputable firm of qualified auditors
and the independence of the external auditors is confirmed in
the Post-Audit Report on an annual basis. Disclosure of this is
made in the Annual Report. There is also a confirmation on
quarterly basis at the subsidiary Bank Board Credit
Committee.","Board Audit Committee Meeting Minutes, Board Credit
Committee minutes, Board Meeting Minutes and 2019
Annual Integrated Report."
FA,"Yes. This is part of the Agenda that is circulated with the AGM
Notice at least 21 days prior to the AGM. The proceedings are
reflected in the AGM Minutes.","AGM Minutes and AGM Notice circulated prior to the meeting
available on the website."
FA,"The Company’s Annual Integrated Report is prepared in an
integrated basis using the Global Reporting Initiative.","2019 Annual Integrated Report available on the Company’s
website."
FA,"Yes there are various risk management policies implemented
by the Company’s subsidiary companies. This is approved by
the Board Risk & Technology Committee of the banking
subsidiary. Reports can be found in the Board Risk &
Technology Committee Meeting Minutes. Further, the banking
subsidiary applies the Equator Principles in its lending
activities for applicable projects.","Stanbic Bank Kenya Limited Board Risk & Technology
Committee Meeting Minutes and the Integrated Operational
Risk policy available on the website and the Annual Integrated
Report."
FA,"Yes. These are covered within the Board, Board Audit
Committee (BAC) Mandate and Board Risk & Technology
Committee Mandate of the Company’s banking subsidiairy.
The risks are discussed on a quarterly basis at the group
Board and Committee Meetings.","Board Mandate, Board Risk & Technology Committee
Mandate for the banking subsidiary, BAC Mandate, Board
Meeting Minutes, BAC meeting minutes and the banking
subsidiary Board Risk & Technology Committee Meeting
Minutes."
FA,"Yes. The review is undertaken during the quarterly Board Risk
& Technology Committee Meetings of the banking subsidiary,
BAC Meetings and Board Meetings. The shareholders are
informed through the Annual Integrated Report, in the section
concerning Risk Management.","Board Risk & Technology Committeeof the banking
subsidiary, Board Mandate, BAC Mandate and meeting
minutes on a quarterly basis. The 2019 Annual Integrated
Report and mandates are available on the website."
FA,"Yes. This is provided for in the Board Audit Committee and
Board Mandates. The Internal Audit function reports to the
Board through the Board Audit Committee. This is disclosed
in the 2019 Annual integrated Report in the section on
Corporate Governance Statement. This is also provided for
under Section 7.3.1 of the BAC Mandate which provides for
establishment of a permanent internal audit function
commensurate with the size and functions of the Company.
This is further reinforced under Section 7.5 of the Board
Mandate which requires the establishment of the internal
audit function which should be adequately staffed for its
purpose.","Board Audit Committee Mandate, Board Mandate, and the
2019 Annual Integrated Report available on the Company’s
website ."
