Column,Column,Level 1,Level 2,Total
,Note,Kshs’000,Kshs’000,Kshs’000
At 31 December 2014,,,,
Assets,,,,
Trading assets,20,"178,354","23,836,927","24,015,281"
Other-financial investments,20,-,"25,268,039","25,268,039"
Available-for-sale pledged assets,19,-,"2,884,293","2,884,293"
,,"178,354","51,989,259","52,167,613"
Comprising:,,,,
Held-for-trading,,"178,354","23,836,927","24,015,281"
Available-for-sale,,-,"28,152,332","28,152,332"
,,"178,354","51,989,259","52,167,613"
Derivative assets,30,-,"1,960,415","1,960,415"
Comprising:,,,,
Held-for-trading,,-,"1,960,415","1,960,415"
Liabilities,,,,
Derivative liabilities,30,-,"2,232,264","2,232,264"
Comprising:,,,,
Designated at fair value through profit or loss,,-,"2,232,264","2,232,264"
