Bank’s regulatory capital,Column,Column
,2014,2013
,KShs’000,KShs’000
Tier 1 capital (Core capital),,
Share capital,"3,411,549","3,411,549"
Share premium,"3,444,639","3,444,639"
Foreign currency translation reserve,"(68,403)","(5,565)"
Retained earnings,"17,520,145","14,358,958"
Total Tier 1 capital (Core capital),"24,307,930","21,209,581"
Tier 2 capital,,
Regulatory credit risk reserve,"129,649",-
Borrowings,"4,812,270","3,347,255"
Total Tier 2 capital,"4,941,919","3,347,255"
Total capital (Tier 1 + Tier 2),"29,249,849","24,556,836"
Risk - weighted assets,,
Operational risk,"25,239,097","20,755,828"
Market risk,"13,218,970","11,443,369"
On-statement of financial position balance,"86,866,067","75,812,804"
Off-statement of financial position balance,"13,410,401","11,629,082"
Total risk - weighted assets,"138,734,535","119,641,083"
Capital adequacy ratios,,
Core capital / total risk - weighted assets,17.52%,17.73%
Minimum regulatory requirement,10.50%,10.50%
Total capital / total risk - weighted assets,21.08%,20.53%
Minimum regulatory requirement,14.50%,14.50%
