Column,Column,Attributable to equity holders,Column,Column,Column
,Note,"Share Capital
KShs Million","Share
Premium
KShs Million","Retained
earnings
KShs Million","Total Equity
KShs Million"
Year ended 31 December 2022,,,,,
At 1 January 2022,,"1,977","16,897",(638),"18,236"
Profit for the year,,-,-,"2,835","2,835"
Contribution and distributions to owners,,,,,
Dividends paid,18,-,-,"(2,886)","(2,886)"
Total contributions by and distributions to owners,,-,-,"(2,886)","(2,886)"
At 31 December 2022,,"1,977","16,897",(689),"18,185"
Year ended 31 December 2021,,,,,
At 1 January 2021,,"1,977","16,897",(633),"18,241"
Profit for the year,,-,-,"2,169","2,169"
Contribution and distributions to owners,,,,,
Dividends paid,18,-,-,"(2,174)","(2,174)"
Total contributions by and distributions to owners,,-,-,"(2,174)","(2,174)"
At 31 December 2021,,"1,977","16,897",(638),"18,236"
