"Year ended 31
December 2014","Increase in cur-
rency rate in %","Effect on profit
before tax","Effect on profit
after tax","Decrease in
currency rate
in %","Effect on profit
before tax","Effect on profit
after tax"
,2014,2014,2014,2014,2014,2014
Currency,,KShs’000,KShs’000,,KShs’000,KShs’000
USD,0.45%,"(6,007)","(4,205)",0.58%,"7,742","5,419"
GBP,0.90%,(557),(390),1.05%,650,455
EUR,1.11%,"(1,122)",(786),1.28%,"1,294",906
"Year ended 31
December 2013","Increase in cur-
rency rate in %","Effect on profit
before tax","Effect on profit
after tax","Decrease in cur-
rency rate in %","Effect on profit
before tax","Effect on profit
after tax"
,2013,2013,2013,2013,2013,2013
Currency,,KShs’000,KShs’000,,KShs’000,KShs’000
,"1.10% (5,290) (3,703)
1.58% (1,297) (908)
4.22% (3,323) (2,326)",,,"0.99% 4,988 3,492
1.74% 1,428 1,000
7.56% 5,954 4,168",,
USD,,,,,,
GBP,,,,,,
EUR,,,,,,
