Column,Column,Column,Column,Attributable to equity holders,Column,Column,Column,Column,Column,Column,Column,Column,Column,Column
,,,,Share,,Share,,Other,,Retained,,Proposed,Total Equity,
,,,,Capital,,Premium,,Reserves,,Earnings,,Dividends,,Total Equity
,For the year ended 31 December 2016,No te,,KShs’000,,KShs’000,,KShs’000,,KShs’000,,KShs’000,,KShs’000
,At 1 January 2016,,,"1,976,608",,"16,897,389",,"(790,252)",,"18,146,346",,"2,134,738",,"38,364,829"
,Profit for the year,,,-,,-,,-,,"4,418,589",,-,,"4,418,589"
,"Other comprehensive income, net of tax",,,-,,-,,"190,816",,-,,-,,"190,816"
,Transfer to statutory credit risk reserve,,,-,,-,,"(130,100)",,"130,100",,-,,-
,"Transactions with owners, recorded directly in equity",,,,,,,,,,,,,
,Contributions by and distributions to owners of the,,,,,,,,,,,,,
,Group,,,,,,,,,,,,,
,Dividends to equity holders - dividend paid,18,,-,,-,,-,,"(699,720)",,"(2,134,738)",,"(2,834,458)"
,Proposed dividend,18,,-,,-,,-,,"(1,375,719)",,"1,375,719",,-
,Transfer of vested share option from share based reserve,41(a),,-,,-,,"(29,620)",,"29,620",,-,,-
,Share based payment reserve,41(a),,-,,-,,"1,098",,-,,-,,"1,098"
,Total transactions with owners,,,-,,-,,"(28,522)",,"(2,045,819)",,"(759,019)",,"(2,833,360)"
At 31 December 2016,,,"1,976,608",,"16,897,389",,"(758,058)",,"20,649,216",,"1,375,719",,"40,140,874",
