Statement of financial position,Column,Column,Column,Column,Column,Column
,Total Group,"Total Group
Kshs'000",CIB,CIB,PBB,PBB
,Kshs'000,,Kshs'000,Kshs'000,Kshs'000,Kshs'000
,2015,2014,2015,2014,2015,2014
Assets,,,,,,
Cash and balances with Central Bank of Kenya,"11,350,098","9,555,580","10,322,589","8,697,931","1,027,509","857,649"
Financial assets,"48,701,992","52,167,614","48,701,992","52,149,864",-,"17,750"
Derivative assets,"4,377,196","1,960,415","4,377,196","1,960,415",-,-
Loans and advances,"128,163,157","101,210,109","78,676,781","57,984,570","49,486,376","43,225,539"
"Property, equipment and intangibles","3,056,126","2,898,601","1,147,278","1,186,217","1,908,848","1,712,384"
Goodwill,"9,349,759","9,349,759","9,349,759","9,349,759",-,-
Deferred income tax,"361,322","1,435,226","264,412","545,230","96,910","889,996"
Current income tax,"382,965","4,294","258,684","(30,019)","124,281","34,313"
Other receivables and prepayments,"2,709,300","2,417,387","1,003,105","293,219","1,706,195","2,124,168"
Total assets,"208,451,915","180,998,985","154,101,796","132,137,186","54,350,119","48,861,799"
Liabilities,,,,,,
Deposits,"153,670,812","129,409,143","100,052,866","84,611,477","53,617,946","44,797,666"
Current income tax,"89,535",-,"66,228","(2,358)","23,307","2,358"
Trading liabilities,"521,973",-,"521,973",-,-,-
Derivative liabilities,"3,361,440","2,232,264","3,361,440","2,232,264",-,-
Borrowings,"6,482,063","6,513,417","4,145,719","4,215,066","2,336,344","2,298,351"
Other liabilities and accrued expenses,"5,961,263","5,948,971","3,754,482","2,624,555","2,206,781","3,324,416"
Total liabilities,"170,087,086","144,103,795","111,902,708","93,681,004","58,184,378","50,422,791"
Shareholders' equity,"38,364,829","36,895,190","28,182,316","28,172,562","10,182,513","8,722,628"
Funding,-,-,"14,016,773","10,283,620","(14,016,773)","(10,283,620)"
Total equity and liabilities,"208,451,915","180,998,985","154,101,797","132,137,186","54,350,118","48,861,799"
Other information,,,,,,
Additions to property and equipment,"501,881","461,422","139,667","156,998","362,214","304,424"
Additions to intangible assets,"342,425","6,500","75,930","2,238","266,495","4,262"
