Column,2019,2018,2017,2016,2015
Value addition,KShs. 000',KShs. 000',KShs. 000',KShs. 000',KShs. 000'
"Interest Income,Fees,Commission and Other income","32,939,201","29,654,667","25,429,557","25,121,892","22,632,847"
Interest paid to depositors and other costs,"(17,372,325)","(14,020,221)","(13,150,926)","(12,420,312)","(8,885,055)"
Interest paid on borrowings,"(149,246)","(96,208)","(521,104)","(685,049)","(838,412)"
Wealth Created,"15,417,630","15,538,238","11,757,527","12,016,531","12,909,379"
Employee benefits,"(6,633,135)","(5,894,324)","(5,735,195)","(5,440,584)","(5,035,142)"
Government - Tax,"(1,329,148)","(2,670,591)","(1,091,754)","(1,630,497)","(2,453,680)"
Shareholder's Dividends,"(2,787,021)","(2,292,867)","(2,075,439)","(2,075,439)","(2,431,229)"
Retention to support future Business Growth:,,,,,
Retained Earnings,"(3,593,595)","(3,984,300)","(2,234,055)","(2,343,150)","(2,474,505)"
Depreciation and Amortisation,"(1,061,834)","(667,536)","(613,769)","(517,500)","(503,832)"
Social Capital-CSI,"(12,897)","(28,620)","(7,315)","(9,361)","(10,992)"
Distribution of wealth,"(15,417,630)","(15,538,238)","(11,757,527)","(12,016,531)","(12,909,379)"
