Column,Column,2016,Column,Column,Column,Column,Column,2015,Column,Column,Column,Column
,,Fair values,,,,,,Fair values,,,,
,,Notional,Assets,,Liabilities,,,Notional,Assets,,Liabilities,
,,contract,,,,,,contract,,,,
,,amount,,Assets,,Liabilities,,amount,,Assets,,Liabilities
,,KShs’000,,KShs’000,,KShs’000,,KShs’000’,,KShs’000,,KShs’000
Foreign exchange,,,,,,,,,,,,
derivatives,,,,,,,,,,,,
Currency forwards,,"15,869,130",,"167,449",,"742,879",,"27,166,604",,"806,252",,"344,391"
Currency swaps,,"20,383,990",,"114,913",,"158,372",,"29,290,760",,"474,439",,"169,212"
Currency options,,"13,196,814",,"147,083",,"117,067",,"15,591,707",,"489,350",,"240,593"
Total over-the-counter,,,,,,,"72,049,071",,"1,770,041",,"754,196",
derivatives,,"49,449,934",,"429,445",,"1,018,318",,"72,049,071",,"1,770,041",,"754,196"
Interest rate derivatives,,,,,,,,,,,,
Interest rate swaps,,"31,108,019",,"1,745,515",,"1,745,515",,"38,796,546",,"2,188,147",,"2,188,236"
Cross currency interest rate,"2,059,445",,"297,230",,"297,230",,"2,057,432",,"419,008",,"419,008",
swaps,,"2,059,445",,"297,230",,"297,230",,"2,057,432",,"419,008",,"419,008"
Total over-the-counter,"33,167,464",,"2,042,745",,"2,042,746",,"40,853,978",,"2,607,155",,"2,607,244",
derivatives,,"33,167,464",,"2,042,745",,"2,042,746",,"40,853,978",,"2,607,155",,"2,607,244"
Total derivative assets held,,,,,,,"112,903,049",,"4,377,196",,"3,361,440",
for trading,,"82,617,398",,"2,472,190",,"3,061,063",,"112,903,049",,"4,377,196",,"3,361,440"
Current,,"46,184,751",,"367,710",,"1,025,872",,"64,485,198",,"1,571,689",,"670,595"
Non-current,,"36,432,647",,"2,104,480",,"2,035,191",,"48,417,851",,"2,805,507",,"2,690,845"
Total,,"82,617,398",,"2,472,190",,"3,061,063",,"112,903,049",,"4,377,196",,"3,361,440"
