Statement of financial position,Column,Column,Column,Column,Column,Column
,Total,Total,Sudan,Sudan,Kenya,Kenya
,Kshs'000,Kshs'000,Kshs'000,Kshs'000,Kshs'000,Kshs'000
,2015,2014,2015,2014,2015,2014
Assets,,,,,,
Cash and balances with Central Bank of Kenya,"18,286,126","17,563,801","7,703,815","8,348,361","10582,311","9,215,440"
Financial assets,"48,701,992","52,167,613","58,752","242,743","48,643,240","51,924,870"
Derivative assets,"4,377,196","1,960,415",-,-,"4,377,196","1,960,415"
Loans and advances,"124,381,139","96,542,734","2,495,611","2,957,700","121,885,528","93,585,034"
Investment in subsidiary,-,-,-,-,-,-
"Property, equipment and intangibles","3,056,126","2,898,601","51,676","245,532","3,004,450","2,653,069"
Goodwill,"9,349,759","9,349,759",-,-,"9,349,759","9,349,759"
Deferred income tax,"361,324","1,435,489","3,033",636,"358,291","1,434,853"
Current income tax,"382,965","72,548",-,"37,954","382,965","34,594"
Other receivables and prepayments,"4,332,139","4,657,686","27,783","171,855","4,304,356","4,485,831"
Total assets,"213,228,766","186,648,646","10,340,670","12,004,781","202,888,096","174,643,865"
Liabilities,,,,,,
Deposits,"156,836,039","132,749,988","7,811,039","8,046,134","149,025,000","124,703,854"
Current income tax,"89,535","68,254","80,305",-,"9,230","68,254"
Trading liabilities,"521,973",-,-,-,"521,973",-
Derivative liabilities,"3,361,440","2,232,264",-,-,"3,361,440","2,232,264"
Borrowings,"6,482,063","6,513,417",-,-,"6,482,063","6,513,417"
Other liabilities and accrued expenses,"7,572,887","8,189,533","1,795,503","2,655,031","5,777,384","5,534,502"
Total liabilities,"174,863,937","149,753,456","9,686,847","10,701,165","165,177,090","139,052,291"
Shareholders' equity,"38,364,829","36,895,190","653,823","1,303,617","37,711,006","35,591,574"
Total equity and liabilities,"213,228,766","186,648,646","10,340,670","12,004,782","202,888,096","176,643,865"
Other information,,,,,,
Additions to property and equipment,"501,881","461,423","4,466","126,497","497,415","334,926"
Additions to intangible assets,"342,425","6,500",703,-,"341,722","6,500"
