Net loans and advances,Group,Column
,2014,2013
,KShs ‘000,KShs ‘000
Mortgage lending,"12,445,155","11,138,654"
Instalment sale (Note 22(h)),"11,247,487","9,747,435"
Overdraft and other demand lending,"24,572,345","18,780,499"
Term lending,"41,783,137","31,042,336"
Card lending,"291,292","324,607"
Gross loans and advances to customers,"90,339,416","71,033,531"
Allowances for impairments,,
Impairment for non-performing loans,"(1,103,066)","(955,995)"
Impairment for performing loans,"(888,912)","(944,044)"
Credit impairment allowances,"(1,991,978)","(1,900,039)"
Net loans and advances,"88,347,438","69,133,492"
Redeemable on demand,"23,480,591","15,135,738"
Maturing within 1 month,"893,743","578,829"
Maturing after 1 month but within 6 months,"9,691,238","6,359,108"
Maturing after 6 months but within 12 months,"1,857,566","1,711,293"
Maturing after 12 months but within 5 years,"21,309,288","18,127,177"
Maturing after 5 years,"31,115,012","27,221,347"
Net loans and advances,"88,347,438","69,133,492"
