Column,Share,Capital,Revaluation,Revenue,Proposed,Column
,capital,reserve,reserve,reserve,dividend,Total
,Sh'OOO,Sh'OOO,Sh'OOO,Sh'OOO,Sh'OOO,Sh'OOO
At 1January 2003,"600,000","163,186","37,737","1,126,073","80,400","2,007,396"
Exchange differences arising on,,,,,,
translation of aforeign subsidiary,,"(17,441)","(2,284)","(3,429)",,"(23,154)"
Surplus on revaluation of quoted,,,,,,
investments,,,"12,489",,,"12,489"
Net Profit for the year,,,,"299,357",,"299,357"
Dividend declared - 2002,,,,,"(80,400)","(80,400)"
Proposed dividend - 2003 (Note 13),,,,"(100,800)","100,800",
Bonus issue in subsidiary company,,"32,040",,"(32,040)",,
Transfer to capital reserve,,"19,056",,"(19,056)",,
At 31 December 2003,"600,000","196,841","47,942","1,270,105","100,800","2,215,688"
