20,Financial assets and liabilities – FVTPL,Column,Column
20(a),Financial assets – (FVTPL),,
,Debt securities,GROUP,
,,"2022
KShs Million",
,Government treasury bills and bonds,"25,126","18,535"
,,"25,126","18,535"
,Maturity analysis;,,
,Maturing within 1 month,143,"2,951"
,Maturing after 1 months but within 6 months,"24,321","12,194"
,Maturing after 6 months but within 12 months,-,"1,279"
,Maturing after 12 months but within 5 years,30,"1,575"
,Maturing after 5 years,632,536
,,"25,126","18,535"
