Statement of financial position,Column,Column,Column,Column,Column,Column
,Total Group,"Total Group
Kshs'000",CIB,CIB,PBB,PBB
,Kshs'000,,Kshs'000,Kshs'000,Kshs'000,Kshs'000
,2016,2015,2016,2015,2016,2015
Assets,,,,,,
Cash and balances with Central Bank of Kenya,"8,621,228","11,350,098","7,871,308","10,322,589","749,920","1,027,509"
Financial assets,"52,927,188","48,701,992","51,190,442","48,701,992","1,736,746",-
Derivative assets,"2,472,191","4,377,196","2,472,191","4,377,196",-,-
Loans and advances,"132,576,604","128,163,157","79,568,258","78,676,781","53,008,346","49,486,376"
"Property, equipment and intangibles","3,397,362","3,056,126","1,339,229","1,147,278","2,058,133","1,908,848"
Goodwill,"9,349,759","9,349,759","9,349,759","9,349,759",-,-
Deferred income tax,"1,407,363","361,322","905,178","264,412","502,185","96,910"
Current income tax,"113,547","382,965","104,111","258,684","9,436","124,281"
Other receivables and prepayments,"3,817,487","2,709,300","1,089,892","1,003,105","2,727,595","1,706,195"
Total assets,"214,682,729","208,451,915","153,890,368","154,101,796","60,792,361","54,350,119"
Liabilities,,,,,,
Deposits,"155,835,043","153,670,812","98,750,135","100,052,866","57,084,908","53,617,946"
Current income tax,"1,402,810","89,535","803,853","66,228","598,957","23,307"
Trading liabilities,"3,867,718","521,973","3,867,718","521,973",-,-
Derivative liabilities,"3,061,063","3,361,440","3,061,063","3,361,440",-,-
Borrowings,"3,986,138","6,482,063","2,733,649","4,145,719","1,252,489","2,336,344"
Other liabilities and accrued expenses,"6,389,083","5,961,263","4,937,001","3,754,482","1,452,082","2,206,781"
Total liabilities,"174,541,855","170,087,086","114,153,419","111,902,708","60,388,436","58,184,378"
Shareholders' equity,"40,140,874","38,364,829","27,286,735","28,182,316","12,854,139","10,182,513"
Funding,-,-,"12,450,214","14,016,772","(12,450,214)","(14,016,772)"
Total equity and liabilities,"214,682,729","208,451,915","153,890,368","154,101,796","60,792,361","54,350,118"
Other information,,,,,,
Additions to property and equipment,"373,581","501,881","102,065","139,667","271,516","362,214"
Additions to intangible assets,"558,470","342,425","489,763","75,930","68,707","266,495"
Impairment losses on property and equipment,"76,853","25,584","19,601","1,032","57,252","24,552"
