23,Loans and advances (continued),Column,Column,Column
23(b),Loans and advances to customers,,,
,,,GROUP,
,,Note,"2022
KShs Million","2021
KShs Million"
,Mortgage lending,,"37,831","35,864"
,Vehicle and asset finance (note 23(e)),,"10,030","10,728"
,Overdraft and other demand lending,,"15,155","14,638"
,Term lending,,"192,725","139,089"
,Card lending,,722,622
,Gross loans and advances to customers,,"256,463","200,941"
,Allowances for impairments,,,
,Expected credit loss for loans and advances measured at amortised cost (IFRS 9),23(c (i)),"(20,596)","(15,628)"
,Credit impairment allowances,,"(20,596)","(15,628)"
,Net loans and advances,,"235,867","185,313"
,Maturity analysis:,,,
,Redeemable on demand,,"17,683","16,154"
,Maturing within 1 month,,"26,279","16,609"
,Maturing after 1 month but within 6 months,,"51,253","30,146"
,Maturing after 6 months but within 12 months,,"7,234","6,864"
,Maturing after 12 months but within 5 years,,"75,485","73,889"
,Maturing after 5 years,,"57,933","41,651"
,Net loans and advances,,"235,867","185,313"
