Column,Column,Column,Income statement movements,Column,Column,Column,Column,Column,Column,"Interest in
suspense",Total
,"Opening ECL
1 Jan
2020","Total
transfers
between
stages","ECL on new
exposure
raised","Subsequent
changes
in ECL","Change in ECL
due to
derecognition","Net ECL
raised/
(released)1","Impairment
accounts
written-off","Exchange
and other
movements","Closing
ECL
31 Dec
2020",,
"Customers KShs KShs KShs KShs KShs KShs KShs KShs KShs KShs KShs
Mortgage loans 1,154 1 10 222 - 233 (4) (17) 1 ,366 144 1 ,510
Stage 1 23 36 4 ( 43) - (3) - - 2 0 - 2 0
Stage 2 311 (42) 4 57 - 19 - - 3 30 - 3 30
Stage 3 820 7 2 208 - 217 (4) (17) 1 ,016 144 1 ,160
Vehicle and asset
finance 1,714 - 82 493 - 575 (61) 10 2 ,238 226 2 ,464
Stage 1 96 40 28 ( 87) - (19) - - 7 7 - 7 7
Stage 2 490 (95) 40 ( 6) - (61) - 10 4 39 - 4 39
Stage 3 1,128 55 14 586 - 655 (61) - 1 ,722 226 1 ,948
Card debtors 82 - - 74 - 74 (76) 7 8 7 - 8 7
Stage 1 23 10 - ( 7) - 3 - - 2 6 - 2 6
Stage 2 41 (11) - 5 - (6) - - 3 5 - 3 5
Stage 3 18 1 - 76 - 77 (76) 7 2 6 - 2 6
Other loans and
advances 3,023 (1) 717 720 - 1,436 (403) 47 4 ,103 176 4 ,279
Stage 1 251 63 148 ( 96) - 115 - - 3 66 - 3 66
Stage 2 880 (143) 89 94 - 40 - - 9 20 - 9 20
Stage 3 1,892 79 480 722 - 1,281 (403) 47 2 ,817 176 2 ,993
Corporate 8,198 - 777 1,885 (2) 2,660 (1,241) 57 9 ,674 401 1 0,075
Stage 1 657 (122) 221 ( 171) - (72) - (25) 5 60 - 5 60
Stage 2 352 28 75 ( 117) (2) (16) - - 3 36 - 3 36
Stage 3 7,189 94 481 2,173 - 2,748 (1,241) 82 8 ,778 401 9 ,179
Total 14,171 - 1,586 3,394 (2) 4,978 (1,785) 104 1 7,468 947 1 8,415",KShs,KShs,KShs,KShs,KShs,KShs,KShs,KShs,KShs,KShs,KShs
,"1,154",1,10,222,-,233,(4),(17),"1 ,366",144,"1 ,510"
,23,36,4,( 43),-,(3),-,-,2 0,-,2 0
,311,(42),4,57,-,19,-,-,3 30,-,3 30
,820,7,2,208,-,217,(4),(17),"1 ,016",144,"1 ,160"
,"1,714",-,82,493,-,575,(61),10,"2 ,238",226,"2 ,464"
,96,40,28,( 87),-,(19),-,-,7 7,-,7 7
,490,(95),40,( 6),-,(61),-,10,4 39,-,4 39
,"1,128",55,14,586,-,655,(61),-,"1 ,722",226,"1 ,948"
,82,-,-,74,-,74,(76),7,8 7,-,8 7
,23,10,-,( 7),-,3,-,-,2 6,-,2 6
,41,(11),-,5,-,(6),-,-,3 5,-,3 5
,18,1,-,76,-,77,(76),7,2 6,-,2 6
,"3,023",(1),717,720,-,"1,436",(403),47,"4 ,103",176,"4 ,279"
,251,63,148,( 96),-,115,-,-,3 66,-,3 66
,880,(143),89,94,-,40,-,-,9 20,-,9 20
,"1,892",79,480,722,-,"1,281",(403),47,"2 ,817",176,"2 ,993"
,"8,198",-,777,"1,885",(2),"2,660","(1,241)",57,"9 ,674",401,"1 0,075"
,657,(122),221,( 171),-,(72),-,(25),5 60,-,5 60
,352,28,75,( 117),(2),(16),-,-,3 36,-,3 36
,"7,189",94,481,"2,173",-,"2,748","(1,241)",82,"8 ,778",401,"9 ,179"
,"14,171",-,"1,586","3,394",(2),"4,978","(1,785)",104,"1 7,468",947,"1 8,415"
