Column,2012,2011,2010,2009,2008
,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000,Shs ‘000
Assets,,,,,
Cash and balances with CBK,"23,366,583","7,104,647","5,444,892","4,606,140","6,289,827"
Government and other securities,"26,021,103","25,462,779","21,998,217","29,727,224","20,194,094"
Total loans and advances,"78,483,828","94,884,596","75,224,630","70,922,412","65,210,086"
Loans and advances to banks,"12,333,987","30,627,842","16,239,669","25,081,964","20,548,781"
Loans and advances to customers,"66,149,841","64,256,754","58,984,961","45,840,448","44,661,305"
Current income tax recoverable,"158,846","158,846","158,846","166,882","351,222"
Deferred income tax asset,"478,395","616,128",-,"11,424","280,722"
Other assets,"1,950,825","8,853,175","1,475,623","5,961,542","3,823,885"
Intangible assets - goodwill,"9,349,759","9,349,759","10,434,405","10,434,405","10,434,405"
Interest in associated companies,-,-,"100,111","337,675","236,770"
Other intangible assets,"1,034,430","1,373,214","1,726,053","2,074,927","1,610,735"
Property and equipment,"2,302,671","2,299,202","1,911,102","2,962,665","2,296,530"
Prepaid operating lease rentals,"65,715","68,669","71,622","73,654","34,023"
Investment properties,-,-,-,"412,000","366,500"
Assets classified as held for,,,,,
distribution,-,-,"21,534,701",-,-
Total assets,"143,212,155","150,171,015","140,080,202","127,690,950","111,128,799"
Equity and Liabilities,,,,,
Equity,"27,240,888","19,329,127","24,768,615","20,341,602","19,247,973"
Liabilities,,,,,
Total Deposits,"100,463,247","107,681,320","85,694,598","82,534,005","73,071,678"
Deposits from banks,"25,556,484","33,674,186","14,269,483","21,059,626","11,096,605"
Deposits from customers,"74,906,763","74,007,134","71,425,115","61,474,379","61,975,073"
Current taxation,"377,033","587,723","246,827",-,"257,033"
Other liabilities,"5,963,608","8,408,629","3,118,581","19,493,754","16,359,850"
Derivative liabilities,"2,469,648","6,429,260",-,"16,228","55,383"
Trading liabilities,-,"648,671","729,153",-,-
Borrowings,"6,697,731","7,086,285","7,066,362","5,256,618","2,080,161"
Deferred taxation,-,-,"200,443","48,743","56,721"
Liabilities directly associated with,,,,,
assets classified as held for,,,,,
distribution,-,-,"18,255,623",-,-
Total equity and liabilities,"143,212,155","150,171,015","140,080,202","127,690,950","111,128,799"
