2021,2022
1005,1045
47% Female (469),48% Female (500)
53% Male (537),52% Male (545)
Contract: 44,Contract: 29
Commission Earners: 38,Commission Earners: 77
36 Female (41%),36 Female (40%)
51 Male (59%),55 Male (60%)
5 Female (56%),3 Female (33%)
4 Male (44%),6 Male (67%)
3,4
Below 30 years (6%),Below 30 years (6%)
30-40 years (62%),30-40 years (58%)
Above 40 (32%),Above 40 (35%)
Management 41% (408),Management 40% (423)
Non-Management 59% (598),Non-Management 60% (622)
69,150
50,110
5.95%,11%
1.14%,3.02%
