25,PROPERTY AND EQUIPMENT,Column,Column,Column,Column,Column,Column,Column,Column
,(a),GROUP,,,Building on,,Furniture and,,Total
,,,,,leasehold land,,Motor vehicles,equipment,
,,,,,,Sh'OOO,Sh'OOO,Sh'OOO,Sh'OOO
,COST,,,,,,,,
,At 1January 2004,,,,,"352,710","57,284","468,839","878,833"
,Acquisition of subsidiary,,,,,"297,591","19,051","147,390","464,032"
,Currency translation,,,,,,330,839,"1,169"
,Additions,,,,,"23,564","3,755","63,256","90,575"
,Disposals,,,,,,(999),"(10,362)","(11,361)"
,At31 December 2004,,,,,"673,865","79,421","669,962","1,423,248"
,DEPRECIATION,,,,,,,,
,At 1January 2004,,,,,"27,862","34,600","329,896","392,358"
,Acquisition of subsidiary,,,,,"29,997","13,289","96,159","139,445"
,Currency translation,,,,,,138,666,804
,Charge for the year,,,,,"7,054","10,759","60,949","78,762"
,Eliminated on disposals,,,,,,(999),"(10,362)","(11,361)"
,At31 December 2004,,,,,"64,913","57,787","477,308","600,008"
,NET BOOK VALUE,,,,,,,,
,At31 December 2004,,,,,"608,952","21,634","192,654","823,240"
,At 31 December 2003,,,,,"324,848","22,684","138,943","486,475"
Annual,,Report,&,F i,n a (,a I,Statements,,
