Carrying Value,"Gross Nominal
inflow/(out-
flow)","Redeemable on
demand","Maturing
within 1 month","Maturing after 1
month but with-
in 6 months","Maturing after
6 months but
within 12
months","Maturing after
12 months but
within 5 years","Maturing
After 5 years"
2014,2014,2014,2014,2014,2014,2014,2014
KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000,KShs’000
"9,555,580","9,596,901","9,538,477",-,"58,424",-,-,-
"23,836,927","34,972,294",-,"1,913,270","3,127,712","10,667,817","11,753,508","7,509,987"
"2,884,293","3,222,832",-,-,"338,640","2,532,880","351,312",-
"25,446,393","28,230,603",-,"1,899,825","2,891,943","17,015,090","3,901,482","2,522,263"
"12,862,672","12,886,812","11,479,498","1,292,286",-,"115,028",-,-
"88,347,438","139,348,607","24,750,996","6,702,613","13,677,254","9,095,690","49,837,363","35,284,691"
"2,417,387","2,581,855","2,581,855",-,-,-,-,-
"165,350,690","230,839,904","48,350,826","11,807,994","20,093,973","39,426,505","65,843,665","45,316,941"
"1,960,415",,,,,,,
-,"529,205",-,"39,408","91,970","220,544","173,087","4,196"
-,"(283,739)",-,"(12,341)","(33,555)","(147,010)","(90,771)",(62)
"1,960,415","245,466",-,"27,067","58,415","73,534","82,316","4,134"
"(33,570,266)","(37,634,629)","(5,161,831)","(271,565)","(1,391,183)","(10,260,942)","(20,549,108)",-
"(96,838,876)","(97,760,321)","(75,091,989)",-,"(15,798,374)","(3,282,446)","(3,587,512)",-
-,-,-,-,-,-,-,-
"(6,513,417)","(11,783,316)",-,"(174,232)","(259,000)","(433,232)","(5,880,852)","(5,036,000)"
"(5,948,968)","(5,948,971)","(5,948,971)",-,-,-,-,-
"31,065,787","(31,065,787)","(31,065,787)",-,-,-,-,-
"581,935","(581,935)","(581,935)",-,-,-,-,-
"2,153,187","(2,153,187)",-,-,-,"(392,576)","(1,184,025)","(576,586)"
"(109,070,618)","(186,928,146)","(117,850,513)","(445,797)","(17,448,557)","(14,369,196)","(31,201,497)","(5,612,586)"
"(2,232,264)",,,,,,,
-,"33,587",-,"10,191",3,"23,379",14,-
-,"(1,194,504)",,"(79,721)","(382,336)","(411,390)","(316,863)","(4,194)"
"(2,232,264)","(1,160,917)",-,"(69,530)","(382,333)","(388,011)","(316,849)","(4,194)"
