Column,Column,Column,Income statement movements,Column,Column,Column,Column,Column,Column,"Interest in
suspense",Total
,"Opening ECL
1 Jan
2024","Total
transfers
between
stages","ECL on new
exposure
raised","Subsequent
changes
in ECL","Change in ECL
due to
derecognition","Net ECL
raised/
(released)1","Impairment
accounts
written-off","Exchange
and other
movements","Closing
ECL
31 Dec
2024",,
"Customers KShs KShs KShs KShs KShs KShs KShs KShs KShs KShs KShs
Mortgage loans 2,376 - 29 135 - 164 ( 254) 109 2,395 (301) 2,094
Stage 1 77 61 8 (68) - 1 - - 78 - 78
Stage 2 392 ( 73) 15 39 - (19) - 109 482 - 482
Stage 3 1,907 12 6 164 - 182 ( 254) - 1,835 (301) 1,534
Vehicle and asset
finance 969 - 74 33 - 107 ( 179) 171 1,068 (10) 1,058
Stage 1 91 8 39 (46) - 1 - - 92 - 92
Stage 2 473 ( 15) 17 (49) - (47) - ( 91) 335 - 335
Stage 3 405 7 18 128 - 153 ( 179) 262 641 (10) 631
Card debtors 78 - 3 76 - 79 ( 83) ( 4) 70 - 70
Stage 1 18 6 1 (2) - 5 - - 23 - 23
Stage 2 34 ( 7) 2 3 - (2) - ( 4) 28 - 28
Stage 3 26 1 - 75 - 76 ( 83) - 19 - 19
Other loans and
advances 9,510 - 1,227 974 - 2,201 ( 3,661) 469 8,519 41 8,560
Stage 1 482 35 249 (291) - (7) - 45 520 - 520
Stage 2 1,078 ( 183) 169 (207) - (221) - ( 71) 786 - 786
Stage 3 7,950 148 809 1,472 - 2,429 ( 3,661) 495 7,213 41 7,254
Corporate 6,282 - 576 639 (253) 962 ( 175) ( 894) 6,175 (118) 6,057
Stage 1 757 ( 35) 430 (119) (206) 70 - 41 868 - 868
Stage 2 52 35 6 764 (13) 792 - ( 192) 652 - 652
Stage 3 5,473 - 140 (6) (34) 100 ( 175) ( 743) 4,655 (118) 4,537
Total 19,215 - 1,909 1,857 (253) 3,513 ( 4,352) ( 149) 18,227 (388) 17,839",,,KShs KShs KShs,,,KShs,KShs KShs,,KShs,KShs,KShs
,"2,376",-,29,135,-,164,( 254),109,"2,395",(301),"2,094"
,77,61,8,(68),-,1,-,-,78,-,78
,392,( 73),15,39,-,(19),-,109,482,-,482
,"1,907",12,6,164,-,182,( 254),-,"1,835",(301),"1,534"
,969,-,74,33,-,107,( 179),171,"1,068",(10),"1,058"
,91,8,39,(46),-,1,-,-,92,-,92
,473,( 15),17,(49),-,(47),-,( 91),335,-,335
,405,7,18,128,-,153,( 179),262,641,(10),631
,78,-,3,76,-,79,( 83),( 4),70,-,70
,18,6,1,(2),-,5,-,-,23,-,23
,34,( 7),2,3,-,(2),-,( 4),28,-,28
,26,1,-,75,-,76,( 83),-,19,-,19
,"9,510",-,"1,227",974,-,"2,201","( 3,661)",469,"8,519",41,"8,560"
,482,35,249,(291),-,(7),-,45,520,-,520
,"1,078",( 183),169,(207),-,(221),-,( 71),786,-,786
,"7,950",148,809,"1,472",-,"2,429","( 3,661)",495,"7,213",41,"7,254"
,"6,282",-,576,639,(253),962,( 175),( 894),"6,175",(118),"6,057"
,757,( 35),430,(119),(206),70,-,41,868,-,868
,52,35,6,764,(13),792,-,( 192),652,-,652
,"5,473",-,140,(6),(34),100,( 175),( 743),"4,655",(118),"4,537"
,"19,215",-,"1,909","1,857",(253),"3,513","( 4,352)",( 149),"18,227",(388),"17,839"
