6,Interest income,Column,Column,Column,Column
,,GROUP,,COMPANY,
,,"2022
KShs Million","2021
KShs Million","2022
KShs Million","2021
KShs Million"
,Loans and advances to customers,"19,898","15,524",-,-
,Financial assets – (FVOCI),"2,480","2,131",-,-
,Financial assets – (amortised cost),"2,706","2,493",-,-
,Placements and other bank balances,"1,003",419,6,4
,,"26,087","20,567",6,4
7,Interest expense,,,,
,Current accounts,"1,721","1,424",-,-
,Savings and term deposit accounts,"4,690","4,207",-,-
,Deposits and placements from other banks,174,211,-,-
,Interest on borrowed funds,443,242,-,-
,Interest expense on lease liabilities (Note 31),114,110,-,-
,,"7,142","6,194",-,-
,Net interest income,"18,945","14,373",6,4
,"All interest income reported above relates to financial assets not carried at fair value through profit or loss and all interest expense
reported relates to financial liabilities not carried at fair value through profit or loss.",,,,
