Column,2015,2014
,KShs’000,KShs’000
Tier 1 capital (Core capital),,
Share capital,"3,411,549","3,411,549"
Share premium,"3,444,639","3,444,639"
Foreign currency translation reserve,"(1,094,225)","(68,403)"
Retained earnings,"20,119,010","17,520,145"
Total Tier 1 capital (Core capital),"25,880,973","24,307,930"
Tier 2 capital,,
Regulatory credit risk reserve,"195,697","129,649"
Qualifying subordinate liabilities,"4,274,558","4,812,270"
Total Tier 2 capital,"4,470,255","4,941,919"
Total capital (Tier 1 + Tier 2),"30,351,228","29,249,849"
Risk - weighted assets,,
Operational risk,"28,772,589","25,239,097"
Market risk,"10,530,868","13,218,970"
Credit risk on-statement of financial position,"107,210,903","86,866,067"
Credit risk off-statement of financial position,"15,769,803","13,410,401"
Total risk - weighted assets,"162,284,163","138,734,535"
Capital adequacy ratios,,
Core capital / total deposit liabilities,23.50%,23.70%
Minimum statutory ratio,8.00%,8.00%
Core capital / total risk - weighted assets,15.90%,17.52%
Minimum statutory ratio,10.50%,10.50%
Total capital / total risk - weighted assets,18.70%,21.08%
Minimum statutory ratio,14.50%,14.50%
