Column,2016,2015
,KShs’000,KShs’000
Tier 1 capital (Core capital),,
Share capital,"3,411,549","3,411,549"
Share premium,"3,444,639","3,444,639"
Foreign currency translation reserve,"(869,568)","(1,094,225)"
Retained earnings,"22,604,156","20,119,010"
Total Tier 1 capital (Core capital),"28,590,776","25,880,973"
Tier 2 capital,,
Regulatory credit risk reserve,"65,597","195,697"
Qualifying subordinate liabilities,"3,919,701","4,274,558"
Total Tier 2 capital,"3,985,298","4,470,255"
Total capital (Tier 1 + Tier 2),"32,576,074","30,351,228"
Risk - weighted assets,,
Operational risk,"30,290,338","28,772,589"
Market risk,"14,483,350","10,530,868"
Credit risk on-statement of financial position,"120,422,923","107,210,903"
Credit risk off-statement of financial position,"14,554,692","15,769,803"
Total risk - weighted assets,"179,751,303","162,284,163"
Capital adequacy ratios,,
Core capital / total deposit liabilities,23.10%,23.50%
Minimum statutory ratio,8.00%,8.00%
Core capital / total risk - weighted assets,15.90%,15.90%
Minimum statutory ratio,10.50%,10.50%
Total capital / total risk - weighted assets,18.10%,18.70%
Minimum statutory ratio,14.50%,14.50%
