Column,Column,Column,Column,Column,Column,Collateral coverage - Total,Column,Column
,Total exposure,"Unsecured
exposure","Secured
exposure","Netting
agree-
ments","Secured
exposure after
netting","Greater than
0% to 50%","Greater than
50% to 100%","Greater than
100%"
Corporate,"76,046,850","4,399,109","71,647,745",-,"71,647,745","2,372,023","27,535,732","41,739,990"
Sovereign,"59,263,744","59,263,744",-,-,-,-,-,-
Bank,"12,965,462","12,965,465",-,-,-,-,-,-
Retail,"48,665,462","7,389,667","41,275,795",-,"41,275,795","10,596,454","10,566,097","20,113,244"
-Retail mortgage,"14,491,750",-,"14,491,750",-,"14,491,750",-,"6,862,303","7,629,447"
-Other retail,"34,173,712","7,389,667","26,784,045",-,"26,784,045","10,596,454","3,703,794","12,483,797"
Total,"196,941,521","84,017,981","112,923,540",-,"112,923,540","12,968,477","38,101,829","61,853,234"
"Add: Financial assets
not exposed to credit
risk","3,427,360",,,,,,,
"Add: Coins and bank
notes","1,945,768",,,,,,,
"Add: Other financial
assets","1,481,592",,,,,,,
"Less: Impairments for
loans and advances","(1,991,978)",,,,,,,
"Less: Unrecognised off
balance sheet items","(31,065,798)",,,,,,,
Total exposure,"167,311,105",,,,,,,
"Reconciliation to
balance sheet",,,,,,,,
"Cash and balances with
central banks","9,555,580",,,,,,,
Derivative assets,"1,960,415",,,,,,,
Financial investments,"25,446,393",,,,,,,
Trading assets,"23,836,927",,,,,,,
Pledged assets,"2,884,293",,,,,,,
Other financial assets,"2,417,387",,,,,,,
Net loans and advances,"101,210,110",,,,,,,
"Total on – balance
sheet exposure","167,311,105",,,,,,,
