Column,Column,Column,Column,Column,Attributable to equity holders,Column,Column,Column,Column,Column,Column,Column,Column
,,Note,,Share Capital,,,Share,,Retained,,Proposed,Total Equity,
,,,Note,,Share Capital,,Premium,,Earnings,,Dividend,,Total Equity
,Year ended 31 December 2016,,,,KShs’000,,KShs’000,,KShs’000,,KShs’000,,KShs’000
,At 1 January 2016,,,,"1,976,608",,"16,897,389",,"(2,772,085)",,"2,134,738",,"18,236,650"
,Profit for the year,,,,-,,-,,"2,832,559",,-,,"2,832,559"
,"Other Comprehensive income, net of tax",,,,-,,-,,-,,-,,-
,Contribution and distributions to owners,,,,,,,,,,,,
,Dividends to equity holders - dividend paid,,18,,-,,-,,"(699,720)",,"(2,134,738)",,"(2,834,458)"
,Dividends to equity holders - proposed dividend,,18,,-,,-,,"(1,375,719)",,"1,375,719",,-
,Total contributions by and distributions to owners,,,,-,,-,,"(2,075,439)",,"(759,019)",,"(2,834,458)"
At 31 December 2016,,,,"1,976,608",,"16,897,389",,"(2,014,965)",,"1,375,719",,"18,234,751",
