Column,Column,Column,Income statement movements,Column,Column,Column,Column,Column,Column,"Interest in
suspense",Total
,"Opening ECL
1 Jan
2023","Total
transfers
between
stages","ECL on new
exposure
raised","Subsequent
changes
in ECL","Change in ECL
due to
derecognition","Net ECL
raised/
(released)1","Impairment
accounts
written-off","Exchange
and other
movements","Closing
ECL
31 Dec
2023",,
"Customers KShs KShs KShs KShs KShs KShs KShs KShs KShs KShs KShs
Mortgage loans 2,096 - 26 428 - 454 (131) (16) 2,403 (27) 2,376
Stage 1 78 65 9 (75) - (1) - - 77 - 77
Stage 2 319 (46) 16 103 - 73 - - 392 - 392
Stage 3 1,699 (19) 1 400 - 382 (131) (16) 1,934 (27) 1,907
Vehicle and asset
finance 1,368 - 328 99 - 427 (604) (108) 1,083 (114) 969
Stage 1 71 17 46 (43) - 20 - - 91 - 91
Stage 2 235 4 23 211 - 238 - - 473 - 473
Stage 3 1,062 (21) 259 (69) - 169 (604) (108) 519 (114) 405
Card debtors 58 - - 81 - 81 (61) - 78 - 78
Stage 1 18 - - - - - - - 18 - 18
Stage 2 19 (1) - 16 - 15 - - 34 - 34
Stage 3 21 1 - 65 - 66 (61) - 26 - 26
Other loans and
advances 8,831 - 814 3,794 - 4,608 (3,642) (275) 9,522 (12) 9,510
Stage 1 434 10 234 (196) - 48 - - 482 - 482
Stage 2 1,159 (203) 292 20 - 109 - (190) 1,078 - 1,078
Stage 3 7,238 193 288 3,970 - 4,451 (3,642) (85) 7,962 (12) 7,950
Corporate 8,243 - 8,054 (413) (5,895) 1,746 (4,052) 746 6,683 (401) 6,282
Stage 1 789 - 722 36 (789) (31) - (1) 757 - 757
Stage 2 157 - 50 (329) (151) (430) - 325 52 - 52
Stage 3 7,297 - 7,282 (120) (4,955) 2,207 (4,052) 422 5,874 (401) 5,473
Total 20,596 - 9,222 3,989 (5,895) 7,316 (8,490) 347 19,769 (554) 19,215",KShs,KShs,KShs,KShs,KShs,KShs,KShs,KShs,KShs,KShs,KShs
,"2,096",-,26,428,-,454,(131),(16),"2,403",(27),"2,376"
,78,65,9,(75),-,(1),-,-,77,-,77
,319,(46),16,103,-,73,-,-,392,-,392
,"1,699",(19),1,400,-,382,(131),(16),"1,934",(27),"1,907"
,"1,368",-,328,99,-,427,(604),(108),"1,083",(114),969
,71,17,46,(43),-,20,-,-,91,-,91
,235,4,23,211,-,238,-,-,473,-,473
,"1,062",(21),259,(69),-,169,(604),(108),519,(114),405
,58,-,-,81,-,81,(61),-,78,-,78
,18,-,-,-,-,-,-,-,18,-,18
,19,(1),-,16,-,15,-,-,34,-,34
,21,1,-,65,-,66,(61),-,26,-,26
,"8,831",-,814,"3,794",-,"4,608","(3,642)",(275),"9,522",(12),"9,510"
,434,10,234,(196),-,48,-,-,482,-,482
,"1,159",(203),292,20,-,109,-,(190),"1,078",-,"1,078"
,"7,238",193,288,"3,970",-,"4,451","(3,642)",(85),"7,962",(12),"7,950"
,"8,243",-,"8,054",(413),"(5,895)","1,746","(4,052)",746,"6,683",(401),"6,282"
,789,-,722,36,(789),(31),-,(1),757,-,757
,157,-,50,(329),(151),(430),-,325,52,-,52
,"7,297",-,"7,282",(120),"(4,955)","2,207","(4,052)",422,"5,874",(401),"5,473"
,"20,596",-,"9,222","3,989","(5,895)","7,316","(8,490)",347,"19,769",(554),"19,215"
