"Unaudited Group Results for the Six Month
Period Ending 30 June 2018",Column,Column,Column,Column
Condensed Group Statement of Profit or Loss and,6 Months Ended,6 Months Ended,,
Other Comprehensive Income For the,30.06.2018,30.06.2017,,
,Unaudited,Unaudited,Variance,
,Kshs '000,Kshs '000,Kshs '000,%
Operating income,"351,402","2 82,603","6 8,799",24%
Interest income,"58,879","4 7,125","1 1,754",25%
Other income,"20,223","1 7,077","3,146",18%
Total income,"430,504","3 46,805","8 3,699",24%
Administrative expenses,"(277,332)","(254,664)","(22,668)",9%
Share of profit of associate,"14,654","7 ,518","7,136",95%
Profit before taxation,"167,826","9 9,659","6 8,167",68%
Taxation charge,"(33,940)","(21,889)","(12,051)",55%
Profit for the year,"133,886","77,770","5 6,116",72%
Other comprehensive income,8,-,8,100%
Total comprehensive income for the year,"133,894","77,770","5 6,124",72%
Earnings Per Share* - Basic and diluted (Kshs),0.52,0 .30,0.22,72%
*EPS based on no. of shares,"259,500,791","2 59,500,791",,
