Market Indicator,Jan- Dec 2014,Jan-Dec-2015,%Change
NSE 20 Share Index,"5,113","4,040",(20.99)
NSE All Share Index (NASI),170,145,(14.71)
Market P/E Ratio,15,14,2.50
Market Capitalization (Kshs. billions),"25,668","26,482",3.17
No. of Issued Shares (billions),980,997,1.77
No. of Shares Traded (millions),"8,134","6,812",(16.25)
No. of Equity Transactions,"548,991","406,632",(25.93)
Equity Turnover (Kshs. millions) - ET,"215,725","209,380",(2.94)
% Foreign Participation to ET,51.38,61.63,10.25
Bond Turnover (Kshs.billions),508,302,(40.58)
No. of Bond Deals,"6,696","4,411",(34.13)
Kes/US Dollar Currency exchange as at year end,90.5978,102.3114,11.81
No. of Trading Days,252,253,0.40
