Breakdown of revenue and line contribution,Column,Column,Column,Column,Column,Column
Description,"Actual
30.06.2018","Actual
30.06.2017",Variance,Variance,"%age of
income 2018","%age of
income 2017"
,Kshs '000,Kshs '000,Kshs '000,%,,
REVENUE,,,,,,
Transactions levy - Equity,"259,902","196,799","63,103",32%,60%,57%
Transactions levy - Bonds,"21,760","16,704","5,056",30%,5%,5%
Annual listing Fees,"41,133","42,084",(951),(2%),10%,12%
Initial listing fees,"2,500",800,"1,700O",ver 100%,1%,0%
Additional listing fees,"1,098",704,394,56%,0%,0%
BBO fees,"13,323","13,039",284,2%,3%,4%
Data vending,"11,686","12,473",(787),(6%),3%,4%
Total revenue,"351,402","282,603","68,799",24%,82%,81%
OTHER INCOME,,,,,,
Annual members fees,"2,350",-,"2,350",100%,1%,0%
Rent & parking,"6,951","11,279","(4,328)",(38%),2%,3%
Sale of data,"2,916","1,318","1,598O",ver 100%,1%,0%
Private transfer fees,485,485,-,0%,0%,0%
Nomad fees,550,575,(25),(4%),0%,0%
Training fees,"2,535","1,385","1,150",83%,1%,0%
Sale of assets,410,(2),412O,ver 100%,0%,0%
Miscellaneous Income,"3,493",232,"3,261O",ver 100%,1%,0%
M-Akiba income,7,"1,155","(1,148)",(99%),0%,0%
Exchange gain,(474),550,"(1,024)O",ver 100%,0%,0%
Market access fees,"1,000",100,900O,ver 100%,0%,0%
Total other income,"20,223","17,077","3,146",18%,5%,5%
Interest income,"58,879","47,125","11,754",25%,14%,14%
Grand Total,"430,504","346,805","83,699",24%,,
