Column,Column,Unaudited,Column,Unaudited,Column,Column,Audited,Column
,,Kshs ‘000,,Kshs ‘000,,,Kshs ‘000,
Cash flows from operating activities,,,,,,,,
Cash generated from operations,,"59,377",,"60,712",,,"66,974",
Tax paid,,"(20,422)",,"(57,535)",,,"(97,362)",
Net cash generated from/(used in) operating activities,,"38,955",,"3,177",,,"(30,388)",
Net cash generated from/(used in) investing activities,,"66,044",,"(186,006)",,,"(88,455)",
Net cash used in financing activities,,-,,"(21,304)",,,"(243,965)",
Increase/(decrease) in cash and cash equivalents,,"104,999",,"(204,133)",,,"(362,808)",
Cash and cash equivalents at 1 January,,"251,674",,"374,417",,,"613,095",
Effect of foreign exchange rate changes,,"6,680",,-,,,"1,387",
Cash and cash equivalents at period end,,"363,353",,"170,284",,,"251,674",
Summary Consolidated Statement,,,Revaluation,,,Non,,
Of Changes in Equity,Share,Share,& other,,Retained,controlling,,
,capital,premium,reserves,,earnings,interest,,Total
,Kshs ‘000,Kshs ‘000,Kshs ‘000,,Kshs ‘000,Kshs ‘000,,Kshs ‘000
At 1 January 2022,"1,040,017","278,579","2,969",,"746,246","17,518",,"2,085,329"
Profit for the year,-,-,-,,"40,264",(26),,"40,238"
Other comprehensive income,-,-,"44,808",,-,-,,"44,808"
2021 second special dividend declared in the year,-,-,-,,"(130,002)",-,,"(130,002)"
2021 final dividend declared in the year,-,-,-,,"(104,002)",-,,"(104,002)"
Issue of shares to employee share ownership plan,"1,550",880,-,,-,-,,"2,430"
At 30 June 2022,"1,041,567","279,459","47,777",,"552,506","17,492",,"1,938,801"
Profit for the year,-,-,"(15,781)",,"(26,388)",(126),,"(42,295)"
Other comprehensive income,-,-,-,,536,-,,536
At 31 December 2022,"1,041,567","279,459","31,996",,"526,654","17,366",,"1,897,042"
Profit for the year,-,-,-,,"69,379",3,,"69,382"
Other comprehensive income,-,-,"20,451",,-,-,,"20,451"
2022 first and final dividend declared in the year,-,-,-,,"(52,078)",-,,"(52,078)"
"At 30 June 2023 1,041,567 279,459 52,447 543,955 17,369 1,934,797",,,,,,,,
