No,Name,No of Shares,%
1,ABC Capital Ltd,"5,250,000",4.08
2,African Alliance Kenya Investment Bank Ltd,"5,250,000",4.08
3,AIB Capital Ltd,"5,250,000",4.08
4,Apex Africa Capital Ltd,"5,250,000",4.08
5,SBG Securities Ltd,"5,250,000",4.08
6,Discount Securities Ltd (under statutory management),"5,250,000",4.08
7,Dyer & Blair Investment Bank Ltd,"5,250,000",4.08
8,Faida Investment Bank Ltd,"5,250,000",4.08
9,Francis Drummond & Company Ltd,"5,250,000",4.08
10,Genghis Capital Ltd,"5,250,000",4.08
11,Kestrel Capital (East Africa) Ltd,"5,250,000",4.08
12,Kingdom Securities Ltd,"5,250,000",4.08
13,NIC Securities Ltd,"5,250,000",4.08
14,Ngenye Kariuki & Company Ltd,"5,250,000",4.08
15,Nyaga Stockbrokers Ltd (under statutory management),"5,250,000",4.08
16,Old Mutual Securities Ltd,"5,250,000",4.08
17,Renaissance Capital (Kenya) Ltd,"5,250,000",4.08
18,Shah Munge & Partners Ltd,"5,250,000",4.08
19,Standard Investment Bank Ltd,"5,250,000",4.08
20,Sterling Capital Ltd,"5,250,000",4.08
21,Suntra Investments Ltd,"5,250,000",4.08
22,Francis Thuo & Partners Ltd,"5,250,000",4.08
23,"Cabinet Secretary, Treasury of Kenya","6,562,500",5.10
24,Investor Compensation Fund Board,"6,562,500",5.10
,Totals (* - rounded),"128,625,000",100.00%*
