Description,30.06.2017 Actual,30.06.2016 Actual,Variance,Variance
,Kshs '000,Kshs '000,Kshs '000,%
Turnover-Equity (Bn),164,147,17,12%
Turnover-FIS (Bn),477,526,(49),(9%)
OPERATING INCOME,,,,
Transactions Levy-Equity,"196,799","176,747","20,052",11%
Transactions Levy-Bonds,"16,704","18,425","(1,721)",(9%)
Annual Listing Fees,"42,084","42,833",(749),(2%)
Initial listing fees,800,"3,430","(2,630)",(77%)
Additional listing fees,704,"1,144",(440),(38%)
BBO fees,"13,039","12,240",799,7%
Data vending,"12,473","11,977",496,4%
Total operating income,"282,603","266,796.00","15,807",6%
OTHER INCOME,,,,
Miscellaneous income,232,146,86,Over 100%
Rent & parking,"11,279","10,267","1,012",10%
Sale of data,"1,319","1,755",(436),(25%)
Private transfer fees,485,493,(8),(2%)
Nomad fees,575,575,-,0%
Training fees,"1,383","3,224","(1,841)",(57%)
Sale of assets,(2),-,(2),100%
Exchange gain,550,(726),"1,276",Over 100%
Market access fees,100,-,100,Over 100%
M-Akiba income,"1,155",-,"1,155",0%
Total other income,"17,077","15,734.00",187,1%
Interest income,"47,125","51,766.00","(4,641)",(9%)
Grand Total,"346,805","334,296","12,509",4%
