Agenda Item,Resolution,For,Against
5.,"To adopt the audited Financial Statements for the Financial Year ended 31 December, 2014.",,
6.,"To approve a first and final dividend of Kshs 0.38 per share in respect of the Financial Year
ended 31 December, 2014.",,
7. (a),To re-elect Dr Jonathan Ciano (an Independent Director) in accordance with Articles 95 and 96.,,
7. (b),"To re-elect Mr Samuel Njuguna Kimani (an Independent Director) in accordance with Articles
95 and 96.",,
7. (c),To re-elect the following Directors in accordance with Article 117:,,
,(i) Mr Jimnah Mbaru,,
,(ii) Mrs Nasim Devji,,
,(iii) Mr Michael Alan Turner,,
8.,"To re-appoint Messrs Deloitte & Touche as the auditors for the FY ending 31 December, 2015
and to authorize the Directors to fix their remuneration.",,
9.,"To approve Directors’ Fees of Kshs 3.3 Million (Net) per annum to be divided amongst the
Directors as shall be determined by the Board.",,
