8,Immobilisation Level,"a) Government of Kenya Bonds is 100% as of 31 December 2012
b) Corporate Bonds is 62.45% as of 31 December 2012"
9,Maturity,From 1 year to 30 years
10,Interest Rate,"Floating, fixed, combination"
11,Yield Curve,Available from NSE Monthly Reports
12,"Delivery, Settlement,
Registration",Provided by Central Bank of Kenya
13,Settlement Procedure,Delivery vs Payment
14,Delivery,Automated Delivery System
15,Settlement,via Clearing House at Central Bank of Kenya
16,Settlement Cycle,T+3
17,Risk Mitigation,"• Guarantee Fund - For Corporate Bonds
• In majority of the bond transactions, settlement is made directly between buyer and seller."
18,Taxation,"• 15% withholding tax on interest
• 0% withholding tax on interest for infrastructure bonds (with tenor more than 3 yrs)"
Source: NSE,,
