No,Data,Column
1,Par value of NSE Shares (Kshs),Kshs 4.00
2,Offer Price (Kshs),9.50
3,Number of authorised shares of NSE,"212,500,000"
4,Authorised share capital of NSE (Kshs),"850,000,000"
5,Number of issued and fully paid up shares of NSE,"128,625,000"
6,Issued and fully paid up share capital of NSE (Kshs),"514,500,000"
7,Unissued and fully paid up share capital of NSE (Kshs),"335,500,000"
8,Offer Shares,"66,000,000"
9,Gross proceeds of Offer,"627,000,000"
10,Number of issued and fully paid up shares of NSE post-Offer assuming full subscription,"194,625,000"
11,Percentage of immediate dilution to existing shareholders,33.91%
12,Exchange rate used for 1 USD,86.5819
13,Offer market capitalisation of NSE (Kshs),"1,221,937,500"
14,Offer market capitalisation of NSE (USD),"14,113,082"
15,Net asset value (shareholder funds) as of 31 December 2013 (Kshs),"730,810,000"
16,Net asset value per share as of 31 December 2013 (Kshs),5.68
17,Offer Price to net asset value per share above (Kshs),1.67
18,Profit after tax for full year ending 31 December 2013 (Kshs)*,"262,264,000"
19,Profit after tax for full year ending 31 December 2013 (USD),"3,029,086"
20,Earnings per share using profit after tax for full year ending 31 December 2013 (Kshs)*,2.04
21,Trailing price-earnings ratio using the diluted earnings per share above,4.66
22,Dividends for full year ending 31 December 2013 (Kshs),"49,000,000"
23,Dividend payout ratio for 31 December 2013 (Kshs),18.68%
24,Net asset value per share immediately post-Offer using gross proceeds of Offer and No 15 above,6.97
,Some figures have been rounded off,
"* - includes “Recoveries in the year” and “Market access fee” (refer to Sections 17(c) and 6 in the Notes to the Financial Statements in
the Reporting Accountants’ Report in Annexure A2).",,
