"Statement of Cash flows for the six months
ended 30 June 2018",Column,Column
Condensed Group Statement of Cash Flows,6 Months Ended,6 Months Ended
For The,30.06.2018,30.06.2017
,Unaudited,Unaudited
,Kshs '000,Kshs '000
Cash flows from operating activities,,
Cash generated from operations,"178,759","35,571"
Tax paid,"(21,608)","(19,393)"
Net cash generated from operating activities,"157,151","16,178"
Net cash used in investing activities,"(190,840)","(298,259)"
Net cash used in financing activities,-,"(66,474)"
Decrease in cash and cash equivalents,"(33,689)","(348,555)"
Cash and cash equivalents at the beginning of the period,"156,030","479,359"
Cash and cash equivalents at the end of the period,"122,341","130,804"
