"Statement of Financial Position at 30 June,
2018",Column,Column,Column,Column
"Condensed Group Statement of Financial Position
As at","30.06.2018
Unaudited
Kshs '000","30.06.2017
Unaudited
Kshs '000",Variance,
,,,Kshs '000,%
Assets,,,,
Non current assets,"1,060,647","1,017,913","42,734",4%
Current assets,"1,248,525","1,003,423","2 45,102",24%
Total assets,"2,309,172","2,021,336","2 87,836",14%
Equity and liabilities,,,,
Share capital,"1,038,003","1,038,003",-,0%
Share premium,"277,185","2 77,185",-,0%
Revenue reserves,"750,091","5 55,569","1 94,522",35%
Other reserves,(558),(475),(83),17%
Revaluation reserves,"3,209",568,"2,641",465%
Shareholders funds,"2,067,930","1,870,850","1 97,080",11%
Non current liabilities,"5,712","11,763","(6,051)",-51%
Current liabilities,"235,530","1 38,723","96,807",70%
Total shareholders' funds and liabilities,"2,309,172","2,021,336","2 87,836",14%
