AUDITED GROUP RESULTS FOR THE TWELVE MONTH PERIOD ENDING 31 DECEMBER 2015,Column,Column,Column
C ondensed Group Statement of Profit or Loss and,,,
Other C omprehensive Income,,,
Fo r the Year Ended 31 December,2015,2014,Variance
,Kshs '000,Kshs '000,
Operating income,"616,778","641,736",-4%
Interest income,"101,010","39,514",156%
Other income,"90,469","140,651",-36%
Total income,"808,257","821,901",-2%
Administrative expenses,"(448,323)","(389,541)",15%
Finance costs,-,"(14,290)",-100%
Share of profit of associate company,"21,560","23,741",-9%
Profit before taxation,"381,494","441,811",-14%
Taxation charge,"(75,902)","(121,770)",-38%
Profit for the year,"305,592","320,041",-5%
Other comprehensive income,61,26,135%
Total comprehensive income for the year,"305,653","320,067",-5%
Earnings Per Share* - Basic and diluted (Kshs),1.57,2.13,-26%
*EPS based on weighted average no. of shares,"194,625,000","150,020,604",
