Column,2011,2010
,Ushs’000,Ushs’000
Domestic,"146,954,337","155,694,286"
Commercial,"19,373,773","22,573,267"
Medium industrial,"1,007,108","590,922"
Street lighting,"548,833","896,169"
"Commercial time of
use","57,737,605","65,173,991"
"Medium industrial
time of use","100,387,676","90,612,894"
"Large industrial time
of use","164,610,447","140,597,507"
"Total amount
billed to
customers","490,619,779","476,139,036"
"Less: Recovery of
rental payments to
UEDCL -Principal
(Note 14)","(27,295,095)","(12,471,412)"
"Recovery of financing
income (Note 14)","(14,543,529)","(15,408,532)"
,"448,781,155","448,259,092"
