AGM,Annual General Meeting,LV,Low Voltage
ADB,African Development Bank,MV,Medium Voltage
BST,Bulk Supply Tariff,MEMD,"Ministry of Energy and Mineral
Development"
Capex,Capital Expenditure,NSSF,National Social Security Fund
CGU,Cash Generating Unit,OBA,Output Based Aid
DOMC,"Distribution, Operating and Management Costs",OCI,Other Comprehensive Income
EBITDA,"Earnings Before Interest, Tax, Depreciation
and Amortisation",Opex,Operating Expenditure
ECL,Expected Credit Losses,PSP,Power Supply Price
ECP,Electricity Connections Policy,PL,Profit and Loss
EIR,Effective Interest Rate,PV,Present Value
ERA,Electricity Regulatory Authority,REP,Rural Electrification Program
ESG,"Environmental, Social and Governance",RQ,Reconciling Amount
FVoci,"Fair Value through Other Comprehensive
Income",RFR,Risk Free Interest Rate
FVTpl,Fair Value through Profit or Loss,SHE,"Safety, Health, and Environment"
GDP,Gross Domestic Product,SMT,Senior Management Team
GoU,Government of Uganda,SPPI,"Solely Payment of Principal and
Interest"
GW,Giga Watts,TOU,Time of Use
GWh,Giga Watt Hours,UEDCL,"Uganda Electricity Distribution
Company Limited"
HVE,Total Energy Purchased,UETCL,"Uganda Electricity Transmission
Company Limited"
IAS,International Accounting Standards,UEGCL,"Uganda Electricity Generation
Company Limited"
LIBOR,London Interbank Offered Rate,URA,Uganda Revenue Authority
IFC,International Finance Corporation,Ushs,Uganda Shillings
IFRS,International Financial Reporting Standards,USD,United States Dollars
IFRIC,"International Financial Reporting
Interpretations Committee",VAT,Value Added Tax
IPP,Independent Power Producer,WHT,Withholding Tax
ISA,International Standards on Auditing,WIP,Work In Progress
IVA,Independent Verification Agency,,
KV,Kilo-Volts,,
KW,Kilo Watts,,
Km,Kilometer,,
IT,Information Technology,,
LAA,Lease and Assignment Agreement,,
LED,Light-Emitting Diode,,
