At 31 December 2011,Column,Column,Column,Column,Column,Column
,US$,GBP,EURO,ZAR,Ushs,TOTAL
Assets,,,,,,
Intangible assets,-,-,-,-,"214,856,799","214,856,799"
"Conc. arrangement financial asset: Non-current
portion","141,967,732",-,-,-,-,"141,967,732"
"Concession arrangement financial asset: Cur-
rent portion","28,566,899",-,-,-,-,"28,566,899"
Inventories,-,-,-,-,"27,484,884","27,484,884"
Trade and other receivables,"5,366,703",-,"95,437","204,815","90,973,561","96,640,517"
Bank balances,"17,582,338",-,-,-,"32,149,989","49,732,327"
Total assets,"193,483,672",-,"95,437","204,815","365,465,234","559,249,157"
Equity and liabilities,,,,,,
Issued capital,"22,870,262",-,-,-,-,"22,870,262"
Retained earnings,-,-,-,-,"84,297,416","84,297,416"
Shareholder’s loan: Non-current portion,"55,414,004",-,-,-,-,"55,414,004"
IFC loan: Non-current portion,"49,960,000",-,-,-,-,"49,960,000"
Conc. obligation: Non-current portion,"141,967,732",-,-,-,-,"141,967,732"
