OUR KEY ACHIEVEMENTS DURING THE 20 YEARS OF THE CONCESSION,Column,Column,Column
PERFORMANCE AREA,,2005,2024
1,Length of LV and MV Distribution Lines (KM),"16,000","42,466"
2,Distribution Transformers,"5,731","19,783"
3,Customers connected on the Grid,0.29m,2.2m
4,Customers on pre-paid metering,0%,99%
5,Energy Sales (GWh),"1,015","4,674"
6,Energy Losses (%ge),38.0%,16.0%
7,Revenue Collection Rate,80%,99%
8,"Cumulative investments in the distribution grid
– US$ m",6,856
9,Electricity sales revenue – Ushs (Billion),160.6,"2,315"
10,Net Promoter Score (NPS),-,+43
