AGM,Annual General Meeting,MV,Medium Voltage
BST,Bulk Supply Tariff,MEMD,"Ministry of Energy and Mineral
Development"
Capex,Capital Expenditure,NSSF,National Social Security Fund
CGU,Cash Generating Unit,OBA,Output Based Aid
DOMC,"Distribution, Operating and Management
Costs",OCI,Other Comprehensive Income
EBITDA,"Earnings Before Interest, Tax,
Depreciation and Amortisation",Opex,Operating Expenditure
ECL,Expected Credit Losses,PSP,Power Supply Price
EIR,Effective Interest Rate,PL,Profit and Loss
ERA,Electricity Regulatory Authority,PV,Present Value
ESG,"Environmental, Social and Governance",RQ,Reconciling Amount
FVOCI,"Fair Value through Other Comprehensive
Income",SHE,"Safety, Health and Environment"
FVTPL,Fair Value through Profit or loss,SMT,Senior Management Team
GDP,Gross Domestic Product,SPPI,"Solely Payment of Principal and
Interest"
GoU,Government of Uganda,TOU,Time of Use
HVE,Total Energy Purchased,UEDCL,"Uganda Electricity Distribution
Company Limited"
IAS,International Accounting Standards,UETCL,"Uganda Electricity Transmission
Company Limited"
IFC,International Finance Corporation,URA,Uganda Revenue Authority
IFRS,"International Financial Reporting
Standards",Ushs,Uganda Shillings
IFRIC,"International Financial Reporting
Interpretations Committee",USD,United States Dollars
IPP,Independent Power Producer,VAT,Value Added Tax
ISA,International Standards on Auditing,WHT,Withholding Tax
KV,Kilo-Volts,WIP,Work In Progress
IT,Information Technology,,
LED,Light-Emitting Diode,,
LV,Low Voltage,,
