Column,Note,2011,2010
,,Ushs’000,Ushs’000
Operating activities,,,
Profit before tax,,"44,616,527","6,351,065"
Adjustment for:,,,
Amortisation of intangible assets,13,"21,539,527","19,692,253"
Impairment provision for bad and doubtful debts,7,"2,981,441","22,951,717"
Interest on shareholder’s loans,9,"8,140,800","7,500,800"
Interest on IFC loan,9,"3,075,485","2,190,576"
Interest on customer security deposits,9,"2,225,690",-
Interest from bank deposits,5(b),"(1,485,128)","(1,149,038)"
Profit on sale of assets,,"(195,439)",-
Finance income on concession arrangement financial asset,5(b),"(14,543,529)","(15,408,532)"
Unrealised foreign exchange loss,,"6,620,258","17,690,588"
,,"72,975,632","59,819,429"
(Increase)/decrease in inventories,,"(6,498,524)","2,684,488"
Increase in trade and other receivables (net),,"(6,801,321)","(39,578,606)"
Increase in deferred construction income,,"5,417,369","6,395,395"
(Decrease)/increase in customer security deposits,,"(18,879,652)","6,114,207"
Increase in trade and other payables,,"14,306,463","8,418,815"
Cash generated from operating activities,,"60,519,968","43,853,728"
Interest paid on IFC loan,20,"(2,724,837)","(783,056)"
