Column,2011,Movement,2010
,Ushs’000,Ushs’000,Ushs’000
,,,(Restated)
Deferred tax liabilities/(assets),,,
Accelerated tax depreciation,"43,957,952","(7,609,547)","36,348,405"
Provision for bad debts,"(27,354,038)","(2,597,428)","(29,951,466)"
Provision for bonus,-,"(1,268,974)","(1,268,974)"
IPO costs,"(345,331)","345,331",-
Unrealised foreign exchange losses,"(7,969,243)","1,191,635","(6,777,608)"
Net deferred tax liability/ (asset),"8,289,340","(9,938,984)","(1,649,643)"
,2010,Movement,2009
,Ushs’000,Ushs’000,Ushs’000
,(Restated),(Restated),(Restated)
Deferred tax liabilities/(assets),,,
Accelerated tax depreciation,"36,348,405","(6,458,650)","29,889,755"
Provision for bad debts,"(29,951,466)","1,270,631","(28,680,835)"
Provision for bonus,"(1,268,974)","743,014","(525,960)"
Unrealised foreign exchange losses,"(6,777,608)","5,307,176","(1,470,432)"
"Net deferred
tax asset","(1,649,643)","862,171","(787,472)"
