At 31 December 2010,Up to,1 - 3,3 - 12,Over,Total
,1 Month,Months,Months,1 year,
,Ushs’000,Ushs’000,Ushs’000,Ushs’000,Ushs’000
Concession obligation: Non-current portion,-,-,-,"141,967,732","141,967,732"
Deferred income tax liability,-,-,-,"8,289,340","8,289,340"
Shareholder’s loan: Current portion,-,-,"15,548,714",-,"15,548,714"
IFC loan: Current portion,-,"3,111,250","4,177,539",-,"7,288,789"
Concession obligation: Current portion,"2,486,925","7,557,189","18,522,785",-,"28,566,899"
Customer security deposits,-,"2,443,340",-,-,"2,443,340"
Deferred construction income,"5,399,210","10,798,423",-,-,"16,197,633"
Trade and other payables,"117,727,791",-,-,-,"117,727,791"
Current tax payable,-,-,"8,677,237",-,"8,677,237"
Total equity and liabilities,"125,613,926","23,910,202","46,926,275","362,798,754","559,249,157"
Overall open position,"5,197,277","14,254,979","(13,478,033)","(5,974,223)",-
