Column,"2022
(Ushs million)","2021
(Ushs million)"
Net cash flows from operating activities,"350,013","315,043"
Investing activities,,
Investment in the distribution network,"(110,656)","(122,502)"
Proceeds from sale of intangible assets,-,61
Net cash flows used in investing activities,"(110,656)","(122,441)"
Financing activities,,
Dividend Paid,"(87,814)","(19,811)"
"Repayment of principal on long term
borrowing facilities","(179,890)","(170,934)"
Net cash flows used in financing activities,"(267,704)","(190,745)"
"Net (decrease)/increase in cash and cash
equivalents","(28,347)","1,857"
Cash and cash equivalents at 1 January,"(44,885)","(52,489)"
Net foreign exchange differences,"(8,542)","5,747"
"Cash and cash equivalents at 31
December","(81,774)","(44,885)"
