At 31 December 2011,Up to,1 - 3,3 - 12,Over,Total
,1 Month,Months,Months,1 year,
,Ushs’000,Ushs’000,Ushs’000,Ushs’000,Ushs’000
Assets,,,,,
Intangible assets,,,,"214,856,799","214,856,799"
"Concession arrangement financial asset: Non-current
portion",-,-,-,"141,967,732","141,967,732"
Concession arrangement financial asset: Current portion,"2,111,829","4,223,659","22,231,410",-,"28,566,898"
Inventories,"5,422,684","10,845,368","11,216,832",-,"27,484,884"
Trade and other receivables,"73,544,363","23,096,154",-,-,"96,640,517"
Bank balances,"49,732,327",-,-,-,"49,732,327"
Total assets,"130,811,202","38,165,182","33,448,242","356,824,531","559,249,157"
Equity and liabilities,,,,,
Issued capital,-,-,-,"22,870,262","22,870,262"
Retained earnings,-,-,-,"84,297,416","84,297,416"
Shareholder’s loan: Non-current portion,-,-,-,"55,414,004","55,414,004"
IFC loan: Non-current portion,-,-,-,"49,960,000","49,960,000"
