Column,Unit,2018,2017
Total employees,Head Count,"1,514","1,472"
,% Male / Female,77 / 22,69 / 31
,Permanent,"1,504","1,457"
,Contract,6,9
,Expatriate,4,6
Head of departments and direct reports,Head Count,98,88
,% Male / Female,69 / 39,65 / 35
Board of Directors,Head Count,10,12
,% Male / Female,80 / 20,80 / 20
Learning and development expenditure,Ushs ‘million,"2,761","2,948"
Retention Rate,%,94.5,94.5
Total Recruitment,Number,117,155
Average Length of service,Years,8,7
Average age,Years,37,37
Average training,Hours,36.1,34.8
