Column,Issued,Retained,Total
,Capital,Earnings,Equity
,(Note 18),,
,Ushs’000,Ushs’000,Ushs’000
At 1 January 2010,"22,870,262","68,693,154","91,563,416"
Restatement of deferred tax (Note 38),-,"(4,559,215)","(4,559,215)"
At 1 January 2010 - Restated,"22,870,262","64,133,940","87,004,202"
Loss for the year,-,"(2,845,863)","(2,845,863)"
Other comprehensive income,-,-,-
,,"(2,845,863)",
At 31 December 2010,"22,870,262","61,288,077","84,158,339"
At 1 January 2011,"22,870,262","61,288,077","84,158,339"
Profit for the year,-,"23,009,339","23,009,339"
Other comprehensive income,-,-,-
Total comprehensive income,-,"23,009,339","23,009,339"
At 31 December 2011,"22,870,262","84,297,416","107,167,678"
