Column,Note,2011,2010,2009
,,Ushs’000,Ushs’000,Ushs’000
,,,Restated,Restated
NON-CURRENT LIABILITIES,,,,
Shareholder’s loan: non-current portion,19,"55,414,004","64,243,913","40,123,809"
IFC Loan: non-current portion,20,"49,960,000","29,299,998","9,575,000"
Deferred income tax liability,11(c),"8,289,340",-,-
Concession obligation: non-current portion,21,"141,967,732","160,181,071","154,226,395"
,,"255,631,076","253,724,982","203,925,204"
CURRENT LIABILITIES,,,,
Shareholder’s loan: current portion,19,"15,548,714","9,376,000","19,639,153"
IFC loan: current portion,20,"7,288,789","7,321,958",-
Concession obligation: current portion,21,"28,566,899","24,966,135","18,885,945"
Customer security deposits,22,"2,443,340","21,322,992","15,208,785"
Deferred construction income,23,"16,197,633","10,780,264","4,384,869"
Trade and other payables,24,"117,727,791","101,195,639","92,776,824"
Current income tax payable,11(b),"8,677,237","531,849",-
,,"196,450,403","175,494,837","150,895,576"
TOTAL EQUITY AND LIABILITIES,,"559,249,157","513,378,158","441,824,982"
