Column,GoU Support &,Other,Column
,Assurances Rights,Concession Rights,Total
,Ushs’000,Ushs’000,Ushs’000
Amortisation,,,
At 1 January 2010,"(573,301)","(28,654,815)","(29,228,116)"
Charge for the year,"(122,850)","(19,569,403)","(19,692,253)"
At 31 December 2010,"(696,151)","(48,224,218)","(48,920,369)"
Charge for the year,"(122,850)","(21,416,677)","(21,539,527)"
Disposals,-,"590,006","590,006"
At 31 December 2011,"(819,001)","(69,050,889)","(69,869,890)"
Net carrying amount,,,
At 31 December 2011,"1,637,999","213,218,800","214,856,799"
At 31 December 2010,"1,760,849","156,203,043","157,963,892"
