Year,2015,2016,2017,2018,2019,2020,Total
Ushs - Billion,,,,,,,
Revenues,"1,161.0","1,358.2","1,485.2","1,493.2","1,776.6","1,660.8","8,935.1"
Gross Profit,418.0,476.4,960.5,581.2,594.1,479.0,"3,509.2"
Operating Costs,180.5,174.5,200.0,220.7,213.9,226.0,"1,215.5"
EBITDA,238.2,302.3,195.0,347.7,368.6,245.7,"1,697.5"
Depreciation,47.6,61.6,82.7,103.9,123.0,141.3,560.1
EBIT,190.6,240.7,112.4,243.8,245.6,93.0,"1,126.0"
Financing Costs,53.1,69.3,97.6,66.0,58.9,49.0,393.8
Profit Before Tax,161.0,200.1,177.4,195.1,204.4,63.0,"1,000.8"
Income Tax Charge,55.1,59.3,9.1,62.3,65.2,19.9,270.9
Profit After Tax,105.9,140.8,168.3,132.8,139.2,43.1,729.9
EPS - Ushs,65.0,85.0,22.0,82.0,86.0,27.0,340.0
Dividends for the Year,57.2,30.5,12.3,66.4,67.1,21.5,233.6
Dividend Per Share - Ushs,35.2,18.8,7.6,40.9,41.3,12.2,
Share Price - Year End (Ushs),630.0,490.0,400.0,320.0,233.0,219.0,
Market Capitalisation,"1,023.0",795.7,649.6,519.6,378.4,355.6,
Dividend Yield (%ge),6%,4%,2%,13%,18%,6%,
Dividends Paid,49.2,57.5,12.7,12.3,66.4,67.1,265.2
Cashflow from Operations,234.3,234.5,353.1,483.8,194.1,277.1,"1,777.0"
Capital Investments - Gross,280.5,317.8,236.4,230.6,104.8,278.7,"1,448.9"
Capital Investments - Net WIP,248.4,273.1,238.6,213.7,26.0,231.3,"1,231.0"
Loan Drawdowns,152.0,245.8,71.3,109.3,277.8,70.7,926.7
Loan Repayments,-,62.4,124.8,259.8,231.9,110.1,789.0
Interest Paid,24.9,37.7,47.5,55.7,65.3,44.7,275.8
Net Debt Outstanding,481.2,727.3,681.2,546.5,504.1,517.1,517.1
Shareholder Equity,503.8,624.3,617.7,722.2,833.5,803.2,803.2
BST Payments to UETCL,876.5,"1,020.6","1,000.2","1,002.0","1,181.1","1,195.0","6,275.4"
Taxes Remitted to URA,,,,,,,
Income Tax,33.8,26.5,3.7,33.1,38.8,30.0,166.0
VAT,13.3,9.1,39.6,48.3,54.8,14.1,179.1
PAYE,17.9,20.9,19.5,20.2,24.3,24.9,127.7
Customs Tax,6.8,7.2,5.1,8.4,8.3,8.5,44.4
Stamp Duty,13.0,14.4,5.4,7.0,16.2,17.2,73.1
Total Taxes Remitted to URA,84.7,78.0,73.3,117.0,142.5,94.9,590.4
Other Payments to Government Agencies,,,,,,,
Electricity Regulatory Authority,6.2,7.7,8.4,9.2,9.3,9.1,49.8
Uganda Electricity Distribution Contribution,8.0,10.9,10.6,17.6,11.7,11.6,70.5
NSSF - Social Security Contributions,7.0,8.5,8.8,9.4,11.1,11.7,56.5
NSSF - Dividends Paid,,,,,,,
Total Taxes Remitted to URA,21.2,27.2,27.8,36.2,32.1,32.4,176.8
