Column,2005-2007,2008,2009,2010,2011,Total
,Ushs’000,Ushs’000,Ushs’000,Ushs’000,Ushs’000,Ushs’000
In Uganda Shillings,,,,,,
"Substations, low voltage lines and services","34,185,578","26,750,409","41,382,454","44,762,177","73,141,273","220,221,891"
Land and buildings,"433,304","2,657,909","1,191,003","1,727,435","383,834","6,393,485"
"Furniture and fittings, tools and office equipment","3,086,197","1,954,894","2,194,575","1,057,774","1,133,891","9,427,331"
"Computers, communication and MIS","3,745,961","12,191,909","5,731,660","1,208,637","1,581,122","24,459,289"
Motor vehicles,"8,379,379","2,575,677","3,587,001","2,069,868","2,265,347","18,877,272"
Total investments,"49,830,419","46,130,798","54,086,693","50,825,891","78,505,467","279,379,268"
Represented by:,,,,,,
Capitalised,"42,497,797","44,634,305","60,871,508","40,588,824","68,458,889","257,051,323"
Capital work-in-progress (CWIP),"7,332,622","1,496,493","(6,784,815)","10,237,067","10,046,578","22,327,945"
,"49,830,419","46,130,798","54,086,693","50,825,891","78,505,467","279,379,268"
In US Dollars,,,,,,
Foreign exchange rate - Ushs:US$,"1,731","1,967","1,915","2,344","2,498",
Total investment: US$’000 equivalent,"$28,790","$23,452","$28,244","$21,683","$31,427","$133,597"
