Electricity sales during the year (GWh),"2,118","1,937"
Electricity purchases during the year (GWh),"2,800","2,622"
Energy losses (percentage),24.3%,26.1%
Revenue collections rate (percentage),100.3%,94.0%
Total length of distribution lines (km),"11,184","11,109"
Total length of low voltage lines (km),"15,018","14,908"
Total distribution transformers at the end of the year,"8,216","7,509"
"Bulk Supply offtake points (UETCL Substations 132KV / 66KV /
33KV / 11KV)",15,15
Distribution Substations (33KV / 11KV),52,49
Number of pending service applications,"3,008","1,398"
Number of new customers connected (net of disconnections),"60,967","55,690"
Total number of customers,"574,465","513,498"
Total number of company employees,"1,375","1,384"
Exchange Rate: US Dollar to Uganda Shilling (at year end),"2,522","2,691"
,"2,587",
