At 31 December 2010,Up to,1 - 3,3 - 12,Over,Total
,1 Month,Months,Months,1 year,
,Ushs’000,Ushs’000,Ushs’000,Ushs’000,Ushs’000
Assets,,,,,
Intangible assets,-,-,-,"157,963,892","157,963,892"
"Concession arrangement financial asset: Non-current
portion",-,-,-,"160,181,071","160,181,071"
Deferred income tax asset,-,-,"1,649,643",-,"1,649,643"
Concession arrangement financial asset: Current portion,"1,845,640","3,691,281","19,429,214",-,"24,966,135"
Inventories,"4,140,545","8,281,090","8,564,725",-,"20,986,360"
Trade and other receivables,"42,789,272","50,031,365",-,-,"92,820,637"
Bank balances,"54,810,419",-,-,-,"54,810,419"
Total assets,"103,585,876","62,003,736","29,643,582","318,144,963","513,378,157"
Equity and liabilities,,,,,
Issued capital,-,-,-,"22,870,262","22,870,262"
Retained earnings,-,-,-,"61,288,077","61,288,077"
Shareholder’s loan: Non-current portion,-,-,-,"64,243,913","64,243,913"
IFC loan: Non-current portion,-,-,-,"29,299,998","29,299,998"
Concession obligation: Non-current portion,-,-,-,"160,181,071","160,181,071"
Shareholder’s loan: Current portion,-,-,"9,376,000",-,"9,376,000"
IFC loan: Current portion,-,"4,391,958","2,930,000",-,"7,321,958"
