Column,US$,GBP,EURO,Ushs,TOTAL
Bank balances,"3,289,187",-,-,"51,521,232","54,810,419"
Total assets,"188,436,393",-,-,"324,941,764","513,378,157"
Equity and liabilities,,,,,
Issued capital,"22,870,262",-,-,-,"22,870,262"
Retained earnings,-,-,-,"61,288,077","61,288,077"
Shareholder’s loan: Non-current portion,"64,243,913",-,-,-,"64,243,913"
IFC loan: Non-current portion,"29,299,998",-,-,-,"29,299,998"
Concession obligation: Non-current portion,"160,181,071",-,-,-,"160,181,071"
Shareholder’s loan: Current portion,"9,376,000",-,-,-,"9,376,000"
IFC loan: Current portion,"7,321,958",-,-,-,"7,321,958"
Concession obligation: Current portion,"24,966,135",-,-,-,"24,966,135"
Customer security deposits,-,-,-,"21,322,992","21,322,992"
Deferred construction income,-,-,-,"10,780,264","10,780,264"
Trade and other payables,"13,986,750","1,272,541","2,407,430","83,528,918","101,195,639"
Current tax payable,-,-,-,"531,849","531,849"
Total equity and liabilities,"332,246,087","1,272,541","2,407,430","177,452,100","513,378,158"
Overall open position,"(143,809,694)","(1,272,541)","(2,407,430)","147,489,665",-
